 id , diet ,lvid_s, lvid_d , lvaw_s , lvpw_s ,systole_wall_thick, lvaw_d , lvpw_d , diastole_wall_thick , lv_mass , ivs_d , ivs_s 
C59.1,CHOW,2.328276,3.543855,1.65547,1.199029,3.074692,1.111165,0.896662,2.153533,147.835494,1.128611,1.629167
C59.2,CHOW,1.882022,3.115696,1.623474,1.847245,3.470719,1.036186,1.437826,2.474012,151.930686,0.970833,1.527083
C59.3,CHOW,2.147457,3.02441,2.30643,1.587976,3.894406,1.904428,1.325245,3.229673,228.485779,0.972778,1.395417
C61.1,CHOW,2.500516,3.395011,1.486342,1.243964,2.730306,1.155579,0.908266,2.063845,129.943654,1.110417,1.4
C61.2,CHOW,2.757615,3.630886,1.300948,1.252959,2.553907,1.000032,1.027367,2.027399,140.659609,0.983333,1.264583
C61.3,CHOW,2.765916,3.925497,1.401706,0.966329,2.368035,0.765623,0.752941,1.518564,106.228923,0.777083,1.38125
C62.1,CHOW,2.779899,3.815839,1.670764,1.141336,2.8121,1.358352,0.785977,2.144329,164.517562,1.178194,1.496944
C62.2,CHOW,2.900681,4.044559,1.96551,0.703313,2.668823,1.368407,0.526558,1.894965,151.022524,1.008681,1.434028
C62.3,CHOW,3.228165,4.181471,1.485822,1.100196,2.586018,1.091889,0.847654,1.939543,164.541779,1.035417,1.361111
HF58.1,HFD,1.879959,2.918246,1.905634,1.70773,3.613364,1.406762,1.323674,2.730436,163.748558,1.352083,1.8125
HF58.2,HFD,1.885975,3.075873,1.823855,2.190467,4.014322,1.240027,1.869161,3.109188,218.663459,1.198264,1.630903
HF58.3,HFD,2.497718,3.46926,2.018053,1.56549,3.583543,1.561339,1.205368,2.766707,211.387071,1.564062,1.997917
HF65.1,HFD,2.16947,2.822033,1.369913,1.878729,3.248642,1.039827,1.689678,2.729505,156.49786,0.979861,1.312778
HF65.2,HFD,2.575112,3.568923,1.467331,1.189035,2.656366,1.048455,0.972256,2.020711,135.967974,1.0125,1.420833
HF65.3,HFD,3.195437,4.251925,1.542249,1.170219,2.712468,1.148169,0.859662,2.007831,177.333832,0.761098,1.055717
HF67.1,HFD,0.917155,1.841659,1.982138,2.229861,4.211999,1.463169,1.979749,3.442918,148.855966,1.016667,1.535417
HF67.2,HFD,1.889967,3.18098,2.532061,2.613633,5.145694,1.990985,2.04918,4.040165,362.659887,1.392083,1.8525
HF67.3,HFD,2.104027,3.22523,1.813109,1.505615,3.318724,1.372163,1.053349,2.425512,154.622075,1.362361,1.787361
HS60.1,HSD,2.670551,3.885023,1.787019,1.15659,2.943609,1.25092,0.80008,2.051,158.525854,1.234683,1.643919
HS60.2,HSD,2.500243,3.585343,1.543974,1.495962,3.039936,0.995978,1.253974,2.249952,160.701573,1.00625,1.528819
HS60.3,HSD,2.61698,3.855293,1.455496,1.407841,2.863337,0.940528,1.150423,2.090951,160.558413,0.923194,1.445
HS63.1,HSD,2.512724,3.825332,1.532978,1.294102,2.82708,0.986939,0.735491,1.72243,120.82901,1.004167,1.54375
HS63.2,HSD,2.23008,3.804618,2.051837,1.203654,3.255491,1.532326,0.603159,2.135485,162.750575,1.199792,1.549167
HS63.3,HSD,2.265349,3.599268,2.841062,1.048979,3.890041,2.017157,0.842955,2.860112,234.876537,0.928889,1.555278
HS64.1,HSD,2.200113,2.986784,2.206219,1.475578,3.681797,1.897517,1.114405,3.011922,199.182292,1.192361,1.376528
HS64.2,HSD,2.624748,3.511973,1.354778,1.021219,2.375997,1.000764,0.805143,1.805907,112.745481,1.107361,1.42375
HS64.3,HSD,2.940279,4.126119,1.887734,1.014998,2.902732,1.354255,0.703356,2.057611,175.04178,0.765184,1.113284
HFHS56.1,HFHSD,2.629335,3.447965,1.302659,1.073801,2.37646,0.919597,0.761018,1.680615,98.883556,0.910278,1.288889
HFHS56.2,HFHSD,2.20262,3.294317,1.59014,1.303945,2.894085,1.15048,0.848196,1.998676,118.482582,1.18125,1.61875
HFHS56.3,HFHSD,3.115056,4.186865,1.925925,1.480002,3.405927,1.529965,1.146256,2.676221,262.300411,0.913889,1.217708
HFHS57.1,HFHSD,1.346854,2.462715,1.954597,2.312126,4.266723,1.646073,1.72841,3.374483,193.688589,0.944444,1.300972
HFHS57.3,HFHSD,1.901754,3.116132,2.107453,2.337291,4.444744,1.581246,1.612575,3.193821,232.687187,1.086426,1.571696
HFHS66.1,HFHSD,2.556605,3.7802,1.78724,1.150158,2.937398,1.257427,0.752735,2.010162,147.633681,1.256111,1.803889
HFHS66.2,HFHSD,2.516177,3.461288,1.592205,1.403429,2.995634,1.097605,1.245658,2.343263,161.888839,1.067361,1.552708
HFHS66.3,HFHSD,3.283118,4.384355,1.647244,1.209534,2.856778,1.109896,0.94109,2.050986,191.915016,1.093194,1.631528