"id","X2.hydroxyglutarate..2.HG.","X2.ketohexanoate..2.KH.","X2.hydroxy.2.methylbutyrate..2H2MB.","X3.phosphoglycerate..3.PG.","X3.hydroxybutyrate..3.HB.","X4.hydroxyphenylacetate..4.HPA.","X5.hydroxyindoleacetate..5.HIAA.","Anthranilate..AA.","X2.aminoadipate..AAD.","Acetyl.coA","Aconitate","Adenosine.diphosphate","Adenosine.monophosphate..AMP.","Arginosuccinate","Adenosine.triphosphate","Biotin","Cyclic.adenosine.monophosphate..cAMP.","Cholic.acid","Citraconic.acid","Citrate","Deoxycholate..DCA.","Erythrose.4.phosphate..E4P.","Fructose.1.6.bisphosphate..Fruc.1.6.bP.","Fructose.6.phosphate","Fumarate","Glyceraldehyde.3.phosphate..G3P.","Guanidoacetate..GAA.","Glucose","Glucose.6.phosphate","Glyceraldehyde","oxidized.glutathione..GSSG.","Homocysteate..HCA.","Inosine","Isocitrate","Kynurenic.acid","Kynurenine","Lactate","Lactulose","Malate","Malonyl.coA","N.Acetyl.L.Ala","N.carbomyl.aspartate","Nicotinamide.Adenine.Dinucleotide..NAD.","reduced.nicotinamide.adenine.dinucleotide..NADH.","Nicotinamide.adenine.dinucleotide.phosphate..NADP.","Reduced.nicotinamide.adenine.dinucleotide.phosphate..NADPH.","Oxaloacetate","p.aminobenzoate..p.AB.","Phosphoenolpyruvate..PEP.","Phenylpyruvate","Pyroglutamic.acid","Pyrophosphate","Pyruvate","Riboflavin.5..monophosphate..R5.MP.","Rhamnose","S.adenosyl.L.homocysteine","Succinate","Sucralose","Taurine","Thymidine","Thiamine.pyrophosphate..TPP.","Tropisetron","Uridine.5..diphosphate..U5.dP.","UDP.N.acetyl.glucosamine","Uracil","Urate","Ureidopropionic.acid","Uridine","Xanthurenate..XAN.","Xanthosine"
"C59.1",21.8150400035511,16.0617650675314,18.4101000785664,18.6159653616717,18.4681586903671,13.6748898435597,19.5229142432339,14.6759841780629,16.5272886095443,14.0251221010861,20.2285915517261,23.6683890479766,25.2140062679586,17.8285268696692,24.8731405740606,20.9710430073729,18.8860358109097,14.6093417560893,18.8198966151229,26.423215195178,14.1345251237096,18.9154578972463,23.2207176567344,25.2500975300977,21.3539900039959,20.973002204081,17.5198295996492,12.4676728978648,25.6888411866264,15.9122848257718,22.5387067349973,19.7553921688855,22.4864028041827,20.1570400588276,15.2389140296019,13.7422679290646,27.303205685258,17.3503769767231,24.8049918866031,12.5789486246361,17.8264176688307,18.0526798327124,24.0210107649241,21.6528532940084,16.1722092105824,18.7500519419082,19.415129127268,13.8863424980392,16.7037934042118,14.1512066975606,15.2946095538128,20.6649522554622,16.5860514345855,19.9429222983599,17.8619393107316,16.9142544307295,24.2874982808914,13.3097664613446,26.2722958828411,19.0770461162095,18.2554391713248,16.8690194205781,17.9440133606042,13.019001163591,18.9788776731187,20.4586076372597,20.0812191410904,21.2249090097982,15.4476507973592,15.6856698561248
"C59.2",21.8097738633952,16.4152840554124,18.885265268222,18.0636196672528,18.6686006144702,13.4553660250665,19.5022372990444,15.1046412802555,16.5004974742346,13.957033963369,19.8760344873579,24.1616846369063,24.5084147291162,18.5482042469805,24.8761516478723,20.6747141177081,18.5834030063423,15.4339533501438,18.5939251477089,26.3627694193882,17.5620894874736,17.5609177449975,22.4909661587699,24.1529584566581,21.4419263119599,19.5606661777371,18.1348842798519,11.437649839979,24.5043013362183,15.2316730374393,22.7054273056156,20.4262303424971,22.8272208694101,20.0059991752799,14.8798925583586,13.0755269593703,27.5378119754798,17.2021750726001,25.2126160926376,13.2267877200321,18.2181452091915,18.0382021878114,24.359057653611,21.9639451080816,16.9636886780408,19.5478708519055,19.5240919047119,13.9635236568122,15.4705578450161,13.2630650739529,15.5151205650077,21.0614726104599,15.245750580321,19.3471428795635,17.6721774159458,16.298950573766,24.7170411167097,13.5434615149776,26.5229553684785,19.0050461029814,17.8496029656291,16.8899084324034,17.7757668482645,12.8737280226018,20.7624513411997,20.9802501063454,20.4847076041883,20.9564185971286,15.4928571673469,16.1803715485551
"C59.3",21.4236410068323,15.9523040311906,18.4797903692405,17.7183415362412,18.0247694821742,13.4477184202358,19.3416335305602,15.2091818317985,16.8077446715643,14.315244872676,19.1217533690897,23.5693516957206,24.9993189242291,18.3860605652796,24.0183115925885,20.7454853830775,18.7374507341564,14.6798071534819,18.148395363265,26.2073993432834,15.6725357063849,18.8369859877092,22.8581460942029,24.9102860434039,21.3356820089908,20.3154188716326,17.235490031645,12.2553071588287,25.5007934401221,15.842233702427,22.8603539226447,20.542649045673,23.0020754315465,19.628546671981,15.0638189369882,13.5357642416287,27.0060877034881,17.2310369142416,24.8021091695873,13.42848497812,18.0858932284204,18.2976236978687,24.444635803008,22.0859875919011,16.5340186594058,19.2382574977321,19.4090014991316,13.9117773051287,15.9526848792733,13.5158102479628,15.3342205846403,21.048053386578,15.5438549826284,20.5163487458305,17.799812750785,16.4609965422144,24.2999900561786,13.5010682495495,26.1818241295133,18.888907657553,17.755249100711,17.6033026125178,18.0759678831737,12.7971728196798,18.6421750163423,20.4811948062478,20.333572752103,20.8468608249589,15.2627099599869,15.7878735811985
"C61.1",21.9363337202845,16.2507493355507,18.7403411438317,19.040455956082,18.4294732346941,13.1761454886385,19.5300195238195,15.1434634661333,16.6751139584294,14.6440045730572,20.0002380581604,24.2818677816672,25.3760061437812,18.4614748748316,24.0586074978205,21.3210844219262,19.1893688317563,16.8148983127542,18.8330324726492,26.515262737303,16.7367991546827,17.9592019831922,23.192717668452,24.8103531532013,21.3159389379975,20.3986809368392,16.7408103336069,11.861977461186,24.8331501705224,15.4697376453484,23.3597306702884,20.3962078783063,23.2669328277801,20.0470914343637,15.8952155795241,13.4813689022473,27.6515351665802,17.5391119871704,24.8975042586238,14.0800248356765,17.7955352440182,18.0995338391591,23.9630962444825,21.4489225914371,17.0167063765127,19.4814181541512,19.3515032418091,13.8068901435761,15.7081192154575,13.6865048183289,15.2518167903445,21.0488787066423,15.9666068297774,19.2071411193555,17.5389563881093,16.579996603502,24.3287957632347,13.5729327601511,26.5585892197056,19.4239397014205,18.5861365751336,18.1352571149808,17.9555511017236,13.021222151728,20.8949248039488,20.714090715434,20.5244689750094,21.4691443915433,15.4798745706018,16.5124353168065
"C61.2",21.7928294725579,16.2584358644981,19.1859640348412,18.7096219257085,18.0934020404192,13.2303698167899,19.2238366421891,15.5653685411955,16.662563862006,14.8894973059269,18.7120800315367,24.2624006574548,26.024643006997,18.7579276203765,23.5113829028575,21.190116527323,19.0069645112137,17.5897028914383,18.2225292839736,26.1661100586727,16.3644759514306,18.4059929600588,22.9102530793954,24.8662196972856,21.344471730139,20.385416594515,16.7762192241027,11.7908010119869,25.2917513366828,15.5589955500975,22.9362994050773,20.4478741748389,23.1668102657147,19.102627243495,15.1191975963833,13.5091347227433,27.6730270069176,17.5801508146612,24.7012103890989,15.3115270477493,17.9786719051811,17.9110716563311,23.8710681743851,21.1741616815234,16.9682096922681,19.4676218401517,19.4625505102701,14.2886009509218,15.4200956208346,13.0490141994711,15.4691707759279,21.2798051114468,15.7344163957179,19.9663164082027,17.4387382954604,16.4644275673751,23.9380191863541,13.3205105164409,26.6072564669408,18.9593420524414,18.8054370619355,17.7205727888958,18.2062612465484,12.9118755381755,20.4875537121319,20.5808688406476,20.5182966272859,21.4016502906104,15.5318090216412,16.3050376399065
"C61.3",21.7432450063146,16.1079840000882,18.9083794023673,17.3523339227832,18.4855192652699,13.084323404833,19.422520844318,15.2839308296039,16.8365189148203,15.0041363752157,19.9367257512242,23.1314715608476,24.1901328138771,18.5355675693348,24.1855294391988,20.545505410257,18.6458238182845,17.6560809584394,18.7689273210786,26.3733038219238,18.7994779520319,18.0442722398904,21.6953960967304,24.2555906945344,21.103561364293,20.067137379757,17.0813014297437,11.5196646470402,24.7088118044205,15.2302459504307,22.6744314102773,21.2794934891722,23.0565405581864,19.9673921664219,15.3725651402876,12.9890827270895,26.9835598063928,17.5063392111956,24.6602650381284,14.3635397178338,18.0606441615607,18.0801994710559,24.2846349865229,21.8560331407312,16.3671566883053,18.8929957658243,19.3893441784944,14.071854580428,15.8370057462433,13.7233303093991,15.5111849443602,20.9888926731139,15.7036391150514,19.0935367789967,17.8832356449263,16.4463489337607,24.5435019767296,14.1368667924089,26.2714250157556,18.9631102136579,17.2008378034166,16.0341190422518,18.0336057559224,12.9451513278387,20.734484303553,20.8958190102816,20.3773721974674,20.6670052475818,15.3064996573367,16.4285452779138
"C62.1",21.9618843079381,16.4147058250491,19.1374856016114,18.3670993398604,18.4596972306924,13.5749512669792,19.5958307718322,15.423927495346,16.9273154509241,14.055324303706,19.8710065416938,23.9660153088591,25.3069698419506,18.7435032308089,24.4869217326839,21.0545685392822,19.0604466716162,16.9618167301961,18.6015768470246,26.4997654535902,16.4394957041416,18.5953898097734,21.9892277742841,24.6958794466428,21.2840388946199,20.3442860400164,17.0190294109414,12.3017106835367,25.3128603310994,15.8652719077592,22.864679132776,20.4794590216462,23.2957636701525,20.1935794222995,15.1614328435398,13.7191737339609,27.4599661902364,17.3708755181711,24.9705883773132,13.6443451105829,18.3435185064308,18.1337324037455,24.5688651419475,22.2077102714591,16.5888631482178,19.2408482215471,19.4957189106513,14.2272262645016,15.9379367348263,14.0155234625811,15.6527647490816,21.1099255988232,15.7093048469823,20.3286714508218,17.9886354436679,16.6636145115013,24.6614301127823,13.3651929386161,26.2953766815786,19.0111771435502,18.2562891548928,16.5493483169323,18.169735457713,12.996433099521,20.0635596055827,20.7028998705686,20.4853426719929,21.2252247734641,15.4356783062834,16.3815060864619
"C62.2",21.628059679249,16.1648762694857,18.720027158281,18.6665508622722,19.7105641803296,13.3279965201172,19.6789476215063,15.2403095347921,16.6139575603968,14.1198804792784,20.1018588269084,24.2893522941238,25.3144203870354,18.3380158309849,24.4420015519892,20.6615290223102,18.7379941990875,19.1686363205275,18.7358362136783,26.6884404955299,17.8679493472336,18.5509872355317,22.3571472884442,25.1511120423824,21.2461284075411,19.7071023007068,18.2851563281615,12.2048425390418,25.4459850261636,15.9352219930406,23.4223292442349,20.1312632682561,23.0723267437595,19.8047937099052,14.7634177723193,13.5675270167288,27.2021693473721,17.4466197242993,24.9980887403841,13.5714164328994,18.0144742662302,18.0519089634856,23.4364925481317,20.6379027032743,16.7622557749416,19.3155326900446,19.4905525458851,13.9445153332752,16.1733925547691,13.8911487794166,15.4773339930776,20.8886941372117,16.1691614679515,19.6282890755588,18.046388236434,16.6095476225782,23.9195875683352,13.4084107985897,26.5415679495335,19.1080485132204,18.2512568569303,16.8123684486389,18.1623334553208,13.0042423900667,19.7123602860236,21.4819444443714,20.297763821456,20.8797109555046,15.3061619002436,16.4043628426947
"C62.3",21.7105443778316,16.1246380609206,19.0192600354307,18.0555537848803,19.1029955817447,13.0608063531162,19.0360716994232,17.8322156834881,16.6501520469438,13.8565742015023,18.9530979866993,23.9755638018763,25.5492715505918,18.6976637058825,23.6828663204887,22.2886110348491,20.1004998066536,18.0588611419625,18.0727211034348,25.9989229912961,16.1992952789548,16.7761927626542,21.1272670108274,22.6860135778682,21.1565154840232,19.7522472852001,17.25206543964,11.0434223319174,23.5279225951654,15.001644609716,22.7600049248275,20.4345660760355,25.9796674848307,18.7079793739411,15.7079545516896,13.5622218826805,28.6631614152573,17.8203204835875,24.7979886289588,13.1986726434385,18.1213477185519,18.0539202347739,24.1544494176339,21.8438788297102,16.6620129044991,19.1425203596943,19.4040956723973,16.6075431163348,14.8308753873761,12.8680633239682,15.3186084837833,21.3052380065359,15.5061420874279,18.9718524552249,17.7438881557589,17.7384377808498,25.3193895043218,13.2307056533398,26.5617632229971,19.6753003885554,18.659614125857,17.4029468023408,17.3367863218113,12.7923853473018,23.0552225989652,21.3444678240471,20.4525047428225,22.4676298562719,15.5323850420548,19.5916184747072
"HF58.1",21.6515413849192,16.1453987395512,18.6327164023068,19.0222102182696,19.2258807930817,14.1406848851675,19.3064555805728,15.654733303212,16.6663664534691,14.4417915463947,19.7926506980858,23.9553054743419,24.6539071074437,18.4790361891994,24.2935490041204,21.4010419941052,19.3197420482967,15.2348354338127,18.507592983842,26.1597141988228,15.1579818801222,18.6415708516968,22.4845743197765,25.1747010271228,21.1924917661472,20.1595860907402,18.3866610543818,12.7128304727313,25.58590373373,16.2409951940362,22.9161488150782,18.0878463050496,23.5859197883158,19.670128368409,14.8320113765472,13.7775811556176,28.4381176805646,17.4925032252506,24.8568951753566,13.7895458401035,18.0874401960956,17.760911127761,24.0452854862185,21.9132902426522,16.3764122521405,19.4224920573067,19.1596325198956,14.8460703770205,15.9391633009706,14.5990470866478,15.1731119586043,20.4204223169125,16.2492760015273,19.1738503774081,18.2911260512588,17.1429666430603,24.7340976181276,12.9996881417554,26.2955829412518,19.6219305890839,18.0584463748053,16.1523882426443,17.9825804011629,13.0234446948335,20.2146260653681,21.1579271002965,20.115655684731,21.6784257429252,15.753438288762,17.0365305164273
"HF58.2",22.2845277372722,16.8239088134713,19.5484307778346,17.912970785012,19.0816380292036,13.0918451655396,19.2290344889018,15.8402646490997,16.6569251433946,14.0133104560993,19.2933754556706,23.9251768190045,25.7067294018891,18.7091631454867,23.86693681901,21.4603986004628,19.0232633619352,19.5264956735753,18.5305981863373,26.2999275442907,17.3945339703876,18.4127633322264,22.1380380899184,24.8925773713935,20.9836300073627,20.3616580529885,17.848445416038,11.7848465679901,25.2089817495242,14.9184484040786,23.1570975616521,19.6196770579024,23.5082439675783,19.4471579804305,14.5069155108614,13.4883636615026,27.4249946996888,17.4057694201486,24.5150074411524,13.6242746406445,18.268549081003,18.0975620442983,23.796952163437,21.2647734620088,16.6334981366544,18.877003014108,19.4126274301266,14.5542627694193,15.7334915691231,13.5569133362856,15.921265049181,21.4932025207234,15.7333887911819,20.4167246097596,17.6028917434826,16.4761180594304,24.2442686542951,13.3996192104917,26.3775148940333,20.05000027048,18.6140550753343,17.5840152099746,18.4148474336231,12.9355238123858,20.9425906066105,21.0811193176681,20.4119371335751,21.6235358895618,15.7234976236104,16.6607685531919
"HF58.3",21.8623422980716,16.3256302212279,18.9628541330565,17.7625920683156,18.5237186034716,13.8775131831741,19.3759356391669,15.1166064367543,16.6718400154602,12.8297997541255,18.8497966621523,24.131446195148,25.9695926826831,18.3927746371515,23.8911234898903,20.9752899321686,18.6814643174444,16.4311749659822,18.3287219605099,26.2063532093929,16.8758289214295,17.7620678685188,22.749187276699,23.9202218696042,21.1833926733621,20.2218927395622,16.8087353037247,11.0579769381351,24.5023546610173,14.984333415319,22.551421881875,18.5587036768198,22.335504185461,19.3669906369874,14.975739042204,13.5798042684213,27.1222285894781,16.8470737351082,24.7770127225466,11.2966732847228,18.1344382499811,18.0012592333945,24.2227144175617,21.7861006448627,16.7363794518835,19.0929145789024,19.2728211254413,14.247810935835,15.2669999546766,13.2125593504287,15.6930894437861,21.8385662923799,15.365794683158,19.7252878253217,17.4399306398127,16.3855606335258,24.4110889383086,13.7741988265705,26.2691371345755,18.8602587155852,18.6497403990278,18.3948955685001,18.8361865873523,12.7766788664155,20.2198918130883,20.1478049474183,20.3471432766638,21.1811132678889,15.4255116902034,15.9654977341864
"HF65.1",21.6630798284213,16.1257550462813,18.6476757680288,18.8544761940825,18.2999838372077,14.2417270746652,19.3967601353761,14.8434698757434,16.5424181629306,14.5728362445156,19.3537212759124,24.0496599769933,25.7814494178783,18.6197222719542,24.0978359318435,20.9917774667961,18.9776176584718,17.1300257528205,18.2920055822155,26.4972410545301,17.7141360635855,18.4896283895738,22.7516374616449,24.9570377209892,21.115598201726,20.1616525456848,17.5692126459607,12.0952955707885,25.3405761911762,15.4437087933444,22.9432704453168,18.779792470552,22.6341949704422,19.2432664441708,15.2262907260741,13.4418294037979,27.0250613450243,17.423090882722,24.6371439682112,14.1329854262979,18.2261772498112,18.2774904293127,23.6170436124587,20.9356933331096,17.086721431183,19.5808983158403,19.2295670979287,13.550545082884,15.4795011121113,12.9751884894698,15.5411358637526,21.3968215818199,15.8346776324999,20.2641120002277,17.4553053951223,16.1823069258418,23.923481319743,13.6096200241018,26.4244251731201,18.5959322725598,18.5551822994531,18.2042564223694,18.5541897245324,13.1123813650659,19.782976487571,20.8512356123066,20.3464369606114,21.1834002819689,15.1534458832923,15.695575896876
"HF65.2",21.5389406941163,16.1156055385125,19.0364280682986,18.5057349432909,18.0330327048977,13.6531239399261,19.466501057842,14.871220154316,16.233496924951,12.495901134973,18.9726318469656,23.7302781037227,25.8287085408776,18.1372792183453,23.8023883536121,20.2341484419779,17.7928126485007,15.6422225950574,18.4214825339692,26.4148182530777,16.3109843044073,18.0026111020829,22.8308181355821,24.2003396298677,20.938773568934,20.1451629967793,16.449796930118,11.8430559945535,24.8098872239875,15.2820524111096,22.2590833741398,18.4809401272328,22.5761164462529,18.7972500029143,13.9899874388495,12.6522976541798,26.8206234731522,17.260945960292,24.5540328967081,10.495714392116,17.8814271808367,17.6233062443708,23.2172557851677,20.6274457730388,16.3492848030691,18.8549697228433,19.1001346615729,13.9529928205052,15.5406554068,12.6393011310825,14.9319768266849,21.2733133182562,15.6432026371135,19.8435581481724,16.7435159678052,16.1402083599798,22.9792413947625,12.7094764245518,26.1954464436093,18.6920145778992,18.8501141111329,17.6902968014023,18.574631979222,12.4512484069317,19.8418828276499,21.2312595958134,20.0797544832952,20.5255444240735,15.2213249414465,15.3684737627108
"HF65.3",22.15318862156,16.6844749657319,19.439077894698,18.8322473323775,18.9982843386178,13.7697265356076,19.5559202511163,15.1038856153659,16.6337760887338,12.5881405997259,19.9049996375683,24.3571753538595,25.7496027391243,18.4339266959361,24.1996182989736,21.5023665402704,19.3216163758679,16.4132682947822,18.8688050081549,26.4700039575268,16.8693923460091,18.3308654324394,22.8381463907064,25.2021363280751,21.4836844890575,20.2321343701289,17.0813389357675,12.3827066308763,25.1260058209328,15.456238949556,23.620246087461,18.5297020904095,22.8556541276912,19.7561921316317,13.8598478722433,13.0719462594199,27.9978388493284,17.1943792048288,25.041288347457,11.4522688378178,18.0079805337854,18.0926368045246,23.7609757305707,20.8916913419386,17.1485134671589,19.3122394705429,19.317513000908,13.8792518412017,15.3939411930332,13.5410469154299,15.6463426901316,21.3174528491582,15.8625455730438,19.3831104495165,17.1570726852251,17.1310385024066,24.4826938127946,13.6859041755029,26.6706322802863,18.8898493720925,18.7121228270462,17.3283565521361,17.9879064823489,12.954881652706,20.6269429434616,20.4912759572107,20.5182370335233,21.6708252009387,15.496768929841,16.1379553396644
"HF67.1",21.6137662415686,16.1925633682709,18.6741177073721,19.002455499586,18.6133440613415,14.0016521149054,19.3778200337712,16.3286535382212,16.6163449027691,14.5519185207061,19.114964629771,24.0414804109941,25.9638556915397,18.149985855545,23.1824784921938,21.7575259526033,19.1936080001678,16.9954216501184,18.3118676518137,26.363620423044,15.5103719573533,18.3663977348377,22.5735879243605,25.035125481568,21.3298805920532,19.8556134645619,16.9981203925859,12.2889976724318,25.4049917491002,15.8757527038155,23.2451497240157,18.0060316808154,24.0340406278171,19.0073071977325,15.2271306335751,13.4965505657776,27.7916050824385,17.2609343180989,24.9858313689997,14.1833117177629,18.1712892887252,18.0441908260755,22.6886860011938,20.0704546180996,16.8757499898177,19.0179163099175,19.1952771742905,15.0351101384337,15.4685896397083,14.0192489230299,15.15005553898,20.9470060663433,16.2433517140733,19.6838505290388,17.8318099408514,16.8723423329598,23.9368539496791,13.4576743244474,26.6645214000525,18.7551247462283,19.1415215872524,18.0414252058554,17.65268091576,13.5582077225443,20.6594265857473,20.6603056648061,20.0438329391379,21.9322675951376,15.4253448374312,17.4253134705774
