"id","X1.methylhistamine","X2.Arachidonyl.glycerol","X2..deoxyadenosine","X2..deoxycytidine","X2.Methylbutyrylcarnitine.1","X3.deaazadenosine","X3.IPA","X5.Aminolevulinic.Acid","X5.HIAA","AAD","Acetoacetic.Acid","Acetylcarnitine","Acetylcholine","Adenosine","ADMA","Alanine","Anandamide","Anserine","Arachidonic.acid","Arginine","Asparagine","Aspartate","BAIBA","beta.Alanine","Betaine","C4.butyrl.carnitine","cAMP","Carnitine","Carnosine","Choline","Citrulline","Creatine","Cystamine","Cysteamine","Cysteine","Cytidine","Cytosine","DMGV","GABA.2","GlucosePos2","Glutamate","Glutamine_spec","Glycerol","Glycine","Glyoxylic.acid","Histamine","Histidine","HomocysteineN","Isoleucine","Isovalerylcarnitine.1","KIV","Kynurenic.acid","L.Homoserine","L.NMMA","Lysine","MES","Methionine","MetSul","N.acetylglutamine","Ornithine","Phenylalanine","Phosphocholine","Phosphoethanolamine","Proline","Propyl.l.carnitinne","Purine","Pyridoxine","Riboflavin","Serine","Serotonin","Spermine","Taurine","Thiamine","Threonine","Thymidine","Thyroxine","TMA.2","TMNO","trans.HYP","Triidothyronine","Tryptophan","Tyrosine","Uridine","Valine","X_.keto._.methylvaleric.acid.1","X_.ketoisocaproic.acid.2"
"C59.1",25.0252556448464,15.6563535242286,15.0338614416709,18.5650392164373,19.2327058720732,15.5530300595017,17.422178196958,19.9215728397848,16.7617446502726,16.5174924991661,18.9678769636097,29.7923231876583,22.3030979348899,30.8953725315651,23.5960578341122,24.6072762020087,17.1709254609714,21.7967979825769,16.9859960303573,26.8285380505773,21.5912595398349,23.39319601445,17.7675062157198,20.0877237347788,28.8076204966356,25.6023260897695,16.7724267256352,29.2653683245572,21.5402704787499,21.803980360992,21.2183320489958,23.4513399410845,20.2123205078706,15.053165566005,12.2910024672097,24.4812966937444,24.0052739039199,19.8550311561623,17.1773550596333,20.6291782382517,28.0447913757549,21.6352939036631,9.68366304429146,17.4412459845703,14.9694619718573,20.7378031075314,25.8720136746689,22.6943717293277,20.3878928116448,21.5820783050137,15.7005937984438,19.2274034925005,23.7166742450628,20.5603537478106,27.940413632171,17.4203462950565,21.4070892426471,22.1844523771405,26.2332833235996,18.9718875628484,24.8635273059841,23.4002669253271,19.2837052575477,23.4783923969302,16.0976236429664,16.1875024881266,22.0248027121051,21.107482742873,21.2636837667578,21.5119078354847,23.4794372116063,27.1404031809972,16.2188754620886,23.9977211687594,17.3956077545366,14.0984372052274,26.461884925103,25.9209922632796,22.3770918521915,16.7768927311044,24.1987071689747,22.2396607381745,24.6199835723712,22.8394742708219,14.8360919196646,11.6811318751138
"C59.2",25.0531208313335,15.8406113917904,15.0521119062528,18.1789761154421,19.3597865711225,15.6463722292891,16.6976573019365,20.2128424862959,15.7208746386977,16.589179347787,18.8220369328014,29.8220916271082,22.7174602554324,30.6391119290491,23.8220111511196,24.7630226657917,15.1383945439223,22.0350591586234,16.826713484001,26.8063786319702,21.5071635763513,22.9686663104304,17.7026064668023,18.8140239119775,28.6688871787687,26.1985733083534,16.6161887937789,29.1437076080079,21.5416525646602,21.7876927204273,21.4290008725773,23.4287969835808,19.988217135953,15.0827377605601,12.2225951128347,24.4912271914344,24.0749310341219,20.2315296512089,17.1247022095355,20.5388877993149,28.0224483607667,21.789498118548,7.93346956665132,17.2617943413752,14.9965451728226,20.2312666634864,25.6423966026532,22.8340861015451,20.7180989930161,21.5734861727768,15.5370953185838,18.426882186441,23.6913030720416,20.8655311631879,28.0658343591432,17.5258816126652,21.138680935978,21.8098284680147,25.7002663927544,18.1570439276961,24.9494197977459,23.3149427465869,19.2658907511526,23.0369467746569,16.4859449018208,16.0463031231041,22.2269559240271,21.2422300352765,21.0597866399026,20.140461902899,23.7395528437015,27.3024325340249,15.9595671182065,23.9722639200925,16.8284086945542,13.5299339703004,26.4209437653422,22.9223848308548,22.3212297975238,15.9208384124167,23.8911531038751,21.8764475367625,24.1290919924582,23.047117394921,15.1844145672775,11.6331871353593
"C59.3",24.9485969003466,15.7542206704173,15.1671569656598,18.5276422102417,19.5145301834221,15.3290585651583,16.3194281704498,20.0298180443275,16.014095364195,16.8608510761033,19.0356444302551,29.759684398319,22.6533422592816,30.8327644830968,23.9044790589519,24.8775608354506,15.8032756694842,22.5063606922479,16.8189831322851,27.041107735707,21.6772978167315,23.0244931513383,17.8665057009448,19.3359985029294,28.7423970095101,26.1904340847108,16.6573103141731,29.2963336227476,22.3746451185562,21.9170947605262,21.5972100192779,23.3679779571885,19.9646832349846,15.2738279170524,12.3698349633664,24.2208102635288,23.7912640116723,20.4071054649363,17.2464226449141,20.7079895412578,28.0884465255759,21.7745352428401,10.0737846372148,17.3560886355685,15.0480386871286,20.3487534471438,25.9272588494455,22.888423071682,20.2502206589955,21.3975878527782,15.6321536005028,18.6987672779144,24.0100201208569,20.9744505900916,28.0641865934357,17.6422063699035,21.3192776778185,22.0846832041145,26.3653075115086,18.5175127629589,24.8498224620953,23.4042007180182,19.2415351654016,23.2428977715765,16.1908945143095,16.1019402422613,22.1571497404481,21.3402022071702,21.1274009590248,20.485906228688,23.7912226421667,27.2642259175773,16.2977483708879,24.2766308719961,17.3956365884102,13.2077526659318,26.5090820118171,24.3677067959649,22.2802930616942,16.4048306174743,23.9704623070294,22.12692346328,24.1980001667968,22.8242410841675,15.5326913635963,11.8431149110688
"C61.1",25.0060768084382,15.7639726375745,14.902748772776,18.5658687465284,19.5956507619194,15.7755067094857,18.1379745672345,20.1166740879466,16.2832445115402,16.8096476862704,18.8765365613027,30.0093430333801,22.7500250577783,31.0503434396841,23.8353262264513,24.6967894304303,15.0042984717979,22.2762227796368,16.7517038662183,27.156737006433,21.6317770557088,22.4367479732689,17.7405086049893,19.639964693766,28.9794989966421,26.6730077694171,17.1145894243054,29.1684074504014,22.0364990625961,21.783445366524,21.412945924341,23.3824409929569,19.5834440371806,15.2336483241021,12.0115587293428,24.8053829544368,24.3764539682281,19.4568117655003,17.1362890552614,20.5586225265564,28.1262173742246,21.6911223069455,8.96464141239364,17.0375107465978,14.9604092085679,21.2147036894752,26.4786296630867,22.9877877661962,20.6382762028741,22.1341532813637,15.6035176152855,19.4294388380568,24.3127553383907,20.8850985348592,27.9868640318671,17.7447233117648,21.6991279798226,21.9491604931573,26.4902183123022,18.8461450184854,24.90052702277,23.3328595007747,19.2373704297159,23.1172853858508,16.5025841014202,16.1522840143459,22.2147840647473,20.5449192848933,21.2210524500716,20.6880510471621,23.7317727373088,27.2711824256268,15.7392802583337,24.5857177158722,17.6126269602179,13.5322207254325,26.4976352651371,24.0191151359794,22.2907286372098,17.0793542250291,23.97096164927,22.0173780565247,25.1405738497532,23.026536686852,17.4148016961105,11.6706770175667
"C61.2",24.9642995184106,15.8326723371694,14.9512617616268,18.4297406912703,19.6343543624449,15.9756642655118,16.5433976181544,20.1865730668457,17.1617065635802,16.7274140894924,19.1106368162762,30.0131955843678,22.8907147332888,31.0198531474206,23.8898741530638,24.7981115541374,15.4060761410313,22.5080220275311,16.9347005919759,27.1960114416415,21.5676079206388,22.0913986663051,17.9004450019826,18.922057920507,29.0123303664434,26.7789752931664,16.8099657014482,29.3549096428991,22.5053465651689,21.9044982662258,21.3956054984559,23.5389269408435,19.5797640129266,15.0517217119168,12.7141093666292,24.9421303712772,24.4680937702335,20.1562754996408,17.2663131291115,21.0024448359951,28.1004220879442,21.8664986193899,10.2878274065788,17.280011246193,15.0926845107785,20.9946721504724,26.4761540371785,23.0358680047004,20.7202692096248,22.3962934662889,15.7087229203341,18.9274796127238,24.1840063936868,20.9134157571711,28.0940911282067,17.9714838057142,21.4436158849347,22.1107388399947,26.1444667772665,18.9453391191602,24.9458920408866,23.4324638093912,19.3005436440662,23.310207116499,16.443200385158,16.0568214316087,22.3389706147113,20.9008218017063,21.3323060101961,21.9336016920481,23.7710089925185,27.3010218015196,16.3895200893382,24.4519651962559,17.1328392530059,13.4528368618744,26.6398269196555,24.5156619138043,22.4684419368721,17.0655000054355,24.0979140449918,22.1549458105111,24.8648628004079,23.0917938773871,17.10885090188,11.7833571619628
"C61.3",25.0874012244432,15.7298518508058,14.8457030991908,18.1806628652763,19.3349848181444,15.5123354938148,18.2497165259245,20.1204259083564,16.9952279683818,16.7873071176577,19.0915918459921,29.901838913155,22.7173870804487,30.6739018115413,23.5771066902959,24.6764759046143,15.3465978865628,22.0791468633955,16.702265358057,26.0834092780792,21.4874287298926,22.1216104094005,17.945751760632,19.4907094262726,29.0922011114276,26.3638258439248,16.6579009238014,29.3270400825874,21.8109608850165,22.0411331338466,21.3682225851313,23.5024435464781,19.4666452984075,15.3094589964357,12.1930932267908,24.4084910344974,23.9875032397086,19.3219770031428,17.2499276725475,20.6977370092812,28.1865821432623,21.7679161334621,9.84836991978377,17.3500507318018,15.3477321721875,20.4985322508651,25.6830497133362,22.8417672428358,21.2336944851122,22.1897547061838,15.8191001805643,18.7048107321121,23.9339252281964,20.3436752813265,28.0680956009231,17.5566977117468,21.7976902432591,22.1493778714897,26.2936744206514,18.3878938099286,25.0966881912266,23.784086437785,19.3150190560893,24.0788408205297,16.1437563767422,16.1884841176764,22.2128386103207,20.6341821620802,21.2680849763251,22.0068078526267,23.5115879384679,27.233561636548,15.6750327004857,24.2176900988969,17.2822021768257,13.3643547203728,26.643364285749,23.9451206313253,22.4314299719011,16.2332987309125,23.8760288871275,22.1795210368213,24.1279918525537,23.3796881849099,16.4563973875422,11.6735021245342
"C62.1",24.9529160834988,15.6375536510112,14.9218639524424,18.3377819998764,19.5428717595293,15.6550630432963,17.0051045149548,20.1612405505606,17.531428298835,16.7618996328033,19.0084030996526,29.8510968874378,22.8602575896241,30.8863163687337,23.9180451907816,24.7431287509635,16.4762343066189,22.3579995687008,16.7727435159204,26.9347039847294,21.7003957912577,22.1954809477241,17.8983136396751,19.4230603542614,28.8962599292172,26.784883758971,17.0293107772948,29.2551807999067,22.2699722236334,22.0752203890075,21.5728455157765,23.4127427555262,19.8092049389238,15.1145106960977,12.0001119569556,24.6312745307112,24.187907363851,20.0349569235683,17.250317158175,20.9115501920928,28.0449360747149,21.898319540377,10.0036092347415,17.191650796378,15.0165944416312,20.6937413527328,26.319086324771,22.9637642824126,20.8535660593133,22.2575426787735,15.667989964572,18.5790803781945,24.1184942457023,20.7245300618697,28.1617804185112,17.7001862504776,21.59437806135,22.136041125788,26.340062846919,18.5485506103868,25.0977262226913,23.4093044314458,19.2742028657411,23.4542913721232,16.4343382559299,16.1959100499882,22.2388135012392,21.0181129654246,21.1890490560241,22.3070013756421,23.8510155627539,27.2807036214352,16.4287548931397,24.4128893359616,17.2534370694811,13.4676766783348,26.6121618158702,24.1634264175732,22.3440151512003,16.6132364268247,23.8057348853807,22.1577627633705,24.5011108723102,23.1491165006362,16.1743843962573,11.7539754083303
"C62.2",25.0064995311406,15.786252786903,15.0900260369323,18.3853848675894,19.4183437725017,15.4749041522595,17.4563660210982,20.0476601283848,17.0071586629918,16.6063681200722,18.8669168941989,29.9958611467592,22.81125077227,30.7733083151697,23.960061614763,24.6259062269784,15.5585537530222,22.1732582013476,17.0790808977522,26.9991312466574,21.3279130365469,22.6705481052785,17.825430840872,20.0733753599386,28.9725526953818,26.7316572972006,17.1207006537714,29.1533537486584,22.0299545389423,22.0933801741796,21.3787398428638,23.4300243146892,19.368230622854,15.2491053648806,12.362103900358,24.4733208823136,24.030750159742,18.3389940272441,17.2581053428683,20.6042442330905,27.8768932112077,21.8486201411868,9.09872891351498,17.4583277995527,15.1581632204974,20.8329933892499,26.1932880592254,22.8818320463618,21.3188694624855,22.0402334241993,15.6631732601333,18.9008053478795,23.845018382618,20.6446876819172,28.0903969665305,17.6448290078058,21.1882365895484,21.7984232127853,26.6073325432228,19.4022126706561,25.1291860083423,23.4433737338109,19.2900459588188,23.3383224661893,16.2206336883316,16.2640601626046,22.1383908614883,21.2161099998566,20.9995175939273,21.7457199463205,23.8674453888156,27.1780631313328,14.7599453069394,24.1345611038854,17.6045666616039,14.0222373014826,26.6028587110659,25.9258587990717,22.3386810626471,16.3593603348053,23.7500934295796,21.872809192477,24.6428734101047,23.3069204808077,15.1699878365251,11.7268036190614
"C62.3",24.8395299460989,15.6441644573052,14.9654839448928,18.7269838442893,19.6459756141133,15.884981996833,17.0801445257034,20.0424695868899,17.7565013948241,16.7033399779949,18.935529955452,29.8620824647851,22.8800793476718,31.3838737863263,24.060828774852,25.2211870567225,16.1451873266378,22.8679330036029,17.1670405326753,27.2787049606683,21.6244460844306,22.2426085845536,17.8566366125239,19.4905092682014,28.8964568452065,27.8854729182107,16.7524450959332,29.2311628359492,22.9886662891958,22.0044548406543,21.38198156197,23.4830968629654,19.631838097796,15.2102680664402,12.702206245411,25.2693520644393,24.7997775671746,19.7296699695706,17.2843666373187,20.6984196195892,27.7547267438244,21.7748816830892,7.39114390046024,17.4572224621819,15.0697398546216,21.98274854844,26.7915896062815,23.115473723187,21.3770716078526,23.6744954115897,15.6099735414712,18.8330386552528,24.1017658705384,21.0665304958681,28.053066162276,18.0433087719829,21.5654211622676,22.5203922302796,26.4361517585692,19.444907829602,25.3453848942642,23.368052116904,19.2526614323878,23.5141801448648,16.5397367010889,16.392950984644,22.2055363443548,20.6702480773834,21.2036322432494,22.53411834111,23.9934020553146,27.2239124913836,16.6399198726598,24.3725436252672,17.8406927458856,13.5171865294113,26.6035874975798,23.6324665307911,22.3728379004886,17.9458319436687,24.1651630845663,22.56041243025,26.0739562324656,23.4295304575674,18.586978992579,11.6617131427908
"HF58.1",24.9278598263434,15.8007369688856,14.8568926654846,18.4855428978759,19.076247357614,15.8044095578023,17.3678884937553,19.7175179007234,17.2431247196213,16.5693013510525,18.6884658423603,29.8855310559989,22.1120500575118,31.083087596242,23.3744223462557,24.6018012010162,15.7866476263769,23.8917576661704,16.743150171484,26.8042311833247,21.6707924840439,24.0395088952279,17.6274534623621,20.8628838032495,28.7172063868314,26.5818263733868,16.8446754327004,28.9826869454815,21.916155574031,21.7558744108565,21.0125703659024,23.4313689255237,20.8104562028669,15.2211831403985,12.5846604881451,24.7609534181995,24.2696857029418,19.6699155774068,17.0247519955967,20.6987223047137,27.8341214352531,21.4095078392103,8.36270359273904,17.4801733763247,14.9510636418772,21.2850651162872,25.5217057778156,22.6403392692708,20.5049873643611,22.2399910001941,15.5579542573368,19.7418658118935,23.5186565376009,20.4525330671931,27.7661345702376,17.5239516809989,21.1665094556188,22.1090950611447,26.4433227451542,18.9923163529015,25.0083472114309,23.3777648318834,19.1901820174894,23.4487303943098,15.8373831443769,16.1874168051695,21.9257792527316,21.3968726747448,21.1324653989955,22.1493336889296,23.2483042163908,27.0523823382679,17.4765550824632,23.808395284806,17.4655414752992,13.7144092050064,26.3317229793048,25.3042427994601,22.3566112477942,17.2214769075887,24.4109893479358,22.1779430452483,25.1894432086126,22.8030115674581,16.0270725233295,11.7649370771421
"HF58.2",24.9755285422239,15.6421718966934,14.9987023645257,18.3632483021743,19.4622018384379,15.8979240636207,16.8346173177254,20.0733661183949,16.8349688629975,16.6430446690226,18.8618303978272,29.9754181927997,23.0284891006614,30.9084113224086,24.3410832005484,24.1130845065241,16.4811488369775,20.9413755823875,16.8653387702836,27.3128013845549,21.9211202023895,21.7550458760329,17.8852474033867,20.5970455987823,29.1147559734016,26.9606931590775,16.8385585459506,29.1454587851279,20.8867421887416,22.1926034144342,21.5329318653933,23.4024753920347,19.7929377086382,14.9659793470748,12.5254907919495,24.9226755123234,24.4596078273895,19.8613075894247,17.3178023591781,20.7208155051615,27.5679859763728,22.1238253374248,10.4028771605222,17.5963522688486,14.9765211472976,21.1963729082855,26.7065798058302,22.9690271147151,20.39529170545,22.7074954998527,15.7346323108382,18.4953952397793,23.8208419854338,21.4155985507184,28.3033738513898,17.8026240012073,21.4086831512848,22.7876092807591,26.3700594398341,19.4086256784289,25.409134046664,23.4309908197604,19.2632619386303,23.475407204358,16.2768215921275,16.4542045468413,22.1729536391722,21.9584377687405,21.505625008231,21.5829329684539,24.2886164246768,27.2074516534914,17.3217021101062,24.1306748076125,18.3775912893919,13.3875769562232,26.648694850371,24.2954607939882,22.323362716929,16.445132555242,24.2956459501582,22.8312426234129,25.1284993878984,22.6699079788974,18.228974655079,11.6874449577933
"HF58.3",24.9792886601678,15.5217731482582,15.1158449927826,18.1205916989468,19.7607966641813,15.616284153334,18.0403014520776,20.1474100575779,16.1851134277204,16.8363009396034,18.9224733468045,30.0436958267011,22.4018716843226,30.7691640522602,23.7557895555506,25.0108495061721,17.6158413356838,21.7461290251332,17.0175087933271,27.0014919270419,21.9623703883247,22.273888457067,17.7975994205941,19.723511369424,28.7870417430688,27.2139979381861,16.7500195727537,29.1887523112508,21.8392623088272,21.7991187554703,21.4371794773029,23.363761669941,20.1925307438914,14.9165515951456,12.2808085221972,24.6881496832745,24.2088599162782,20.3908814792819,17.115398192711,20.6779297619846,28.1905378836966,22.0395541662496,10.2885951953439,17.1637322117749,15.0985003924967,20.6122685449019,26.4431589972259,23.1875213311266,20.8157367282519,22.5426350246322,15.8503871381595,18.2637265694467,24.3193143077361,20.7795572465463,28.2562776952959,17.8900204780065,22.100609545051,22.5846451044252,26.0594200781427,18.8256307181148,25.1275801770688,23.6363186460591,19.2852366301476,24.1047882359466,16.3739330185017,16.2834402599922,22.2551610728502,20.7161472618812,21.6442820160973,20.7432527581178,23.6679310480311,27.2832679522753,16.9731284156187,24.5909532424083,17.2848009771833,13.1551681742122,26.4954654465224,23.9103346873713,22.263633700386,16.6207497768353,23.7691540734359,22.6299572426768,24.6159050446425,23.2615346825352,16.1604093375186,11.7942784146367
"HF65.1",25.0241769201198,16.1296160412649,14.8094764057829,18.3036623546021,19.6079872166847,15.6784689697531,18.6923474556555,20.1905665736612,16.709635837717,16.7582305097718,19.0888357706685,29.9009127026168,22.506077530138,30.9770692645449,23.9904715069004,24.8133501586096,15.2959363331859,21.1964498446721,16.7931849642508,27.0336972468658,21.5324576455123,22.5357597827754,17.855815247465,19.9289469726934,28.9269165089379,26.5770501713178,16.8127001553136,29.3163894166453,21.2034770098022,21.898785999266,21.669513293829,23.3666773631896,20.5649663240883,14.844696676917,12.3126116575959,24.6266361680098,24.1699294078403,20.0808178247344,17.262731474838,20.5857328677834,28.054063484775,22.041990588579,9.82307835455069,17.2080874845105,15.1347572619181,20.6992503133554,26.3223619338599,23.122752768639,20.7241428188796,22.1825319727491,15.7182928617002,18.7323308966035,24.0117195858355,20.9742704438723,28.2373041670573,17.9007174636409,21.2112545429163,21.8547096160073,26.0873610164276,19.0239846658111,24.9949427676034,23.5404221882168,19.2963781684171,23.4819111213834,16.321714129555,16.0985225351395,22.1730981499451,21.2584968073929,21.4208273931693,21.4396789555668,23.8771799640911,27.2822408212645,16.9766296128849,24.2961264629499,17.0790132950645,13.3556525673019,26.5841352790105,23.8373145591466,22.2784800376377,16.9254028697619,23.8411878878874,21.8915977782898,24.6477871612235,23.0753302919629,16.2867301491578,11.7091174012676
"HF65.2",24.9761028659384,15.5415970683826,15.0087012983699,17.7535443805827,19.0909411100655,15.3598024978539,18.089882701205,19.9802556859627,16.2709972797009,16.3528216865747,18.9767811117984,29.7326308850073,21.9626030221369,30.3818816105375,23.5881407172585,24.106894371078,15.5818523305024,20.9430722117714,16.7156340557596,26.9188252032712,20.7925669390094,21.0059772364006,17.7674537139682,19.9201963378226,28.7721152058593,24.7549741558252,15.7694450186199,29.2332937514956,21.025700248472,21.6031498686976,21.2367176498824,23.5928620267008,19.9149740966489,15.0126896520707,12.3710989428119,23.9818223242666,23.549704984352,20.0850413294124,17.1130071130017,20.942120174832,27.3780332122363,21.7647109083743,8.96939035153955,16.5844032565221,15.0554296717034,19.8279736031644,26.0112269797134,22.7975140529308,19.74451256785,20.5251709093563,15.7130292929474,17.6663065420654,23.3421963128144,20.6099888352678,28.0474494678174,17.8515169742237,20.6975423180758,21.2512022699459,25.4043115790234,18.6776102276282,24.1968339239409,23.5122388115836,19.3295436224975,23.3806836693105,15.9801310594041,15.8773966969239,22.0294100513392,20.5762274185616,21.3893359671862,21.060094860877,23.4841248765706,26.9892920165515,17.2182723308621,23.6499467849945,16.975828437925,12.8238670116151,26.3717877417824,22.7625911442138,22.549540041297,15.338837389446,22.7863121453006,21.3481086498433,23.5485720994939,22.1977166210734,15.4297884890185,11.749940516216
"HF65.3",25.0514640666931,15.7853540386625,15.1924084762133,18.3095888058252,19.7120329539871,15.8043402424887,18.0615735541735,20.1318821616068,16.5191737078014,16.7888742994893,18.5140655067598,30.0759766583451,22.5215091573397,31.0673743549955,23.8542468527368,24.7998487360012,15.8191502031227,21.981200109848,16.829456717344,27.3969078710733,21.6194599808964,22.9676064472704,17.5607890410437,19.2320367463284,28.9682203676018,27.4176294404699,17.1069797501087,28.8316745733177,21.3596803326802,21.8487815830839,21.3270430456829,23.5475828614964,20.3730440850757,15.0029920175253,12.5317018411976,24.8673082036546,24.413290232509,20.2447414131761,16.9905674693598,20.6933601859269,28.0394523923656,21.9368933628206,8.05665377478453,17.20416051253,15.0553720365167,21.0995009606199,26.6573113603895,23.0448127421555,20.5167733767801,22.6928474590113,15.6551038229713,17.8683386733873,24.0623740185676,20.9518016026032,28.1772272530287,17.8043229876491,21.3629376254442,22.0451187404115,26.1431875691873,18.9898009438341,24.9952049636708,23.3444360911939,19.2640231594342,23.1849588046996,16.4672626408183,16.218077166819,22.208352438123,20.7363673543338,21.6509899849032,21.1953379312288,23.7604351589124,27.2759532618692,17.3819177101865,24.3295456414208,17.2108161032402,13.233654813677,26.3986115558762,23.3525090762005,22.4812315898059,17.1795355305716,23.8334682361692,22.0632823883995,25.0430506472487,22.8285061992729,15.8863729426833,11.7420122061393
"HF67.1",24.9110541290399,15.7518457502949,14.9817536735804,18.4464964538939,19.4176772093835,15.9205740587223,17.0891089639008,19.75709081953,17.5283034865002,16.5782841526695,18.7539534589931,29.9207406394191,22.0161576855231,31.0709170972195,23.7593318824613,24.7242384717093,15.88667019206,21.3314181492877,16.7936438942949,27.2189229310716,21.2547318158245,22.6036283950679,17.6290469336943,20.3331606876808,28.7658815930544,26.7117233878512,16.6591567111844,29.0680940187711,21.6458417983464,21.7909064260485,21.2398420846645,23.3336103331018,20.6390109773337,14.8642352117702,12.2885911015094,24.9327118417499,24.4635486051089,19.8543602005767,17.1031561566283,20.6499087391343,27.7478942560673,21.4831204022955,10.4333230193509,17.2273190334896,15.0106577145227,21.4882585991624,26.9078450977894,22.8693929001967,20.5969376672327,22.5144300888411,15.6049723305637,18.8220055944851,23.4559323540414,20.7490196755242,27.8261235547511,17.8708462138428,20.9392983570403,21.9428392438244,26.4885412857982,19.5941623986712,25.0006858663794,23.3916105756864,19.1508375671014,23.5434064295308,16.155746511957,16.227888049733,21.9297177574066,20.7766663538739,20.9936361106403,22.300296213953,23.6523536934639,27.0685365112877,17.0383915272586,23.764931088588,17.0537265223555,13.7695220707687,26.3987981050297,24.5109824809895,22.2532697775341,17.137586867639,24.2441720261827,21.9877625753675,25.4334681124652,22.8015943296333,17.7128217404352,11.7263363542397
"HF67.2",24.9915667087045,15.5790736674329,14.9409151854107,18.3978415221542,19.8402425671411,16.1018310784288,17.4472354236742,20.0059151377704,16.8929210758266,16.8394706388558,18.8647738756094,29.9156664549425,22.3147746408125,31.307703678192,23.9738692809654,25.31209626076,16.346255275984,21.8624768395581,16.7406441446783,27.4573973557828,21.6492185467589,23.1172344093876,17.7512759524963,20.2851964959477,28.8708300070395,27.0303424862786,16.6028433221651,29.1122966108724,21.9139862386013,22.004948670586,21.4990150175559,23.430809989235,20.6528022067139,15.2562907507139,12.4025775506999,25.0805639165622,24.6053411774519,20.198842433371,17.1968889983433,20.5932531318481,27.8672149493515,21.6563115967931,8.33692807539366,17.2618328941639,15.0564094755239,21.8487743810484,26.9612589197459,23.1867704670823,20.7643230465039,22.4790233508701,15.600286831432,19.3305080333361,24.1165984166465,21.0296741940512,27.9404519193608,17.9197187889324,21.5123678756482,22.2711525951875,26.4379521045223,19.3986602171032,25.1314039734915,23.4379406143322,19.2677316489878,23.5950153662592,16.1854268842616,16.2560905906584,22.1381805101354,21.2548091940232,21.5174274469563,21.6514638597546,23.8769687325704,27.2382329924612,17.9650308406644,24.3899659438866,17.2086843329524,13.1389773058057,26.5270578361381,25.3824220982899,22.3459992498841,17.8178389533621,23.8709206067441,22.3518575051321,25.965149598372,23.0514580046776,18.1109834888468,11.7828390981716
