"id","X1.methylhistamine","X2..deoxyadenosine","X2.Arachidonyl.glycerol","X2.Methylbutyrylcarnitine","X3.deaazadenosine","X3.hydroxykynurenine..3.HK.","X3.indolepropionic.acid..3.IPA.","X5.Aminolevulinic.Acid","Acetoacetic.Acid","Acetylcarnitine","Acetylcholine","Adenosine","Asymmetric.dimethylarginine..ADMA.","Alanine","Anserine","Arginine","Asparagine","Aspartate","beta.Alanine","Betaine","C4.butyrl.carnitine","Cyclic.adenosine.monophosphate..cAMP.","Carnitine","Choline","Citrulline","Colchicine","Creatine","Cystamine","Cysteamine","Cytidine","Cytosine","gamma.Aminobutyric.acid..GABA.","Glutamate","Glutamine_spec","Glycine","Histamine","Histidine","HomocysteineN","Isoleucine","Isovalerylcarnitine","Kynurenic.acid","Leucine","L.Homoserine","NG.monomethyl.L.arginine..L.NMMA.","Lysine","Methionine","Methionine.sulfone..MetSul.","N.acetylglutamine","Ornithine","Phenylalanine","Phosphocholine","Phosphoethanolamine","Proline","Propyl.l.carnitinne","Purine","Pyridoxine","Riboflavin","Serine","Serotonin","Spermine","Taurine","Thiamine","Threonine","Thyroxine","Trimethylamine..TMA.","Trimethylamine.N.oxide..TMNO.","trans.HYP","Tryptophan","Tyrosine","Uridine","Valine","a.keto.b.methylvaleric.acid"
"C59.1",23.5781039701978,11.2202953509701,11.3151802157722,17.9222016611632,13.9544231017373,14.8262225568133,14.5766306469198,13.401469289007,17.3803519676211,28.7220078660029,19.3508336577666,29.0367534890088,20.9136196405949,24.5964095385507,18.8124598342816,22.0303843985184,17.8640638640106,19.9972879563752,18.5067279704102,28.8162940077367,24.9520187249022,14.9647844855955,27.5973442483105,21.2676691356821,17.3337360513986,13.7536490272696,22.8461257789694,17.8050612758187,12.5859893890412,21.3571055946388,21.2329035055928,16.448034479455,24.5473839766426,19.2175502768508,18.1030648421255,20.0482908543851,26.1053945579257,20.3848066853962,19.9683531735788,20.0150654760948,20.0966209867158,18.8919207988788,20.9097125701617,18.0566662711487,25.5985364564475,18.3310139903009,21.0373184968738,22.6279446097048,22.9709824214749,23.6421363219886,18.9465107957307,17.6629860381036,23.1479487577697,14.5298995511087,14.3244460756773,19.086165205582,21.3155569814748,18.6558455999982,19.8147750690235,21.1950408975262,26.7156419468162,18.0019379908765,21.3475910748794,13.7884898657784,23.5676601218179,20.8448015570264,22.0800097520107,22.9623158306787,21.1328872304651,20.2035035700666,23.1704036127104,16.2504419815181
"C59.2",23.7237317335277,10.6923739159384,11.9467425642544,19.0242162337016,14.5586148232373,13.7584487515594,13.9080897021798,13.9713596441342,17.3517208019264,27.4529586232484,19.008462057827,29.076234729313,21.6159079108645,23.9520582789993,19.5771175655953,21.7920177061502,18.4918946671572,19.5513991181041,19.0126399927469,29.0264723832168,24.6615363829521,15.3881916849068,27.3719601020928,21.9099582019035,18.1260027250904,14.1329677099418,21.9527511449336,17.1965125615304,13.097170260444,21.5193442910199,21.3705889578965,16.824676815322,23.8182983218045,19.0146922343997,18.1616491883579,20.7907985852724,25.974440423581,20.7340484054066,21.0125405330153,21.3060100842254,19.5185818917462,19.6588329028297,21.1743431839163,18.5134214731797,25.533163894785,19.214565013133,21.7058124175676,23.1323859713001,23.0553790260637,24.3709595194465,19.8395176373367,16.9976233232181,24.1548151258837,14.5514534832572,15.3742332142041,19.3881732714321,22.1934950844322,18.3966412837495,18.4628607700737,21.775855057361,26.782231610197,18.4685937611665,21.6918574563931,13.77624684367,23.8249878104383,19.8017671557053,21.4782867619773,23.4970526312373,21.8007947173186,20.8096700320434,24.0762465502657,16.4646478146828
"C61.1",23.6268299067284,9.77559313606592,12.1596453802202,18.5381008250566,14.5192907058934,13.9937122616134,15.6039228781011,14.1922431908158,17.2712050144593,28.9337564981342,19.4870641441862,28.6041034116246,20.8412227895409,24.6192078488789,19.2824096288641,22.032335825994,18.3920348200783,19.6572404336534,18.7955346973022,29.915747037481,25.6964285427757,15.6191064606821,27.5561618636108,19.9605384769285,18.0551432136656,14.184895816996,23.3511739772287,16.4952636633753,12.9179627998334,21.9219000532399,21.6226756690951,15.9255827105993,24.3470655284798,19.4140013658166,17.9090989144751,20.0764716947579,26.1290138043562,20.4549861295776,20.4003400598413,20.852917720599,20.4721293957214,19.4419436959149,21.6728384999157,18.1615739598464,26.0189864643765,18.5367819391112,20.9549042060363,22.7392483557224,22.4475173504017,23.8185377314641,17.7114915268133,17.3249004660948,23.6905579905999,14.1912489891563,15.0241708917096,19.6341114360347,20.9894337931629,18.8483442206919,20.5637199900463,20.9241550260425,26.024380695893,17.9121251013348,22.1008112553907,13.8033868400231,22.8138639979418,21.3360774614721,22.5763052766313,22.8834799842563,21.2384815736877,20.0270924679501,23.3226860478971,16.3018261039458
"C61.2",23.6362532081952,10.4858957629935,12.1851547101528,18.2892674075936,14.2809095545673,12.9556792652515,12.7809891524573,13.6638346567187,16.8175554915623,28.3712316095505,19.349368689631,28.8220822416245,21.081632791808,24.0844170419306,18.8558411221823,22.0036006270097,17.7403650205214,18.0335561115682,18.5766629328421,29.4352345962474,25.4498315542937,15.4136826173845,27.3982612284049,20.4906133949024,17.4190285045485,13.4645493933344,21.8592079046428,16.7596476725302,12.7476078320568,21.0199667306295,21.1723780973154,14.285903264758,23.716701349997,18.5075928813814,17.9631756866983,19.260360280663,25.5775663926513,19.8015232794692,20.3203065304835,20.373285086649,19.9258263610386,18.9537144465736,20.8886952971999,18.5737537919289,25.0067912175921,17.9809757081362,20.9542434917648,22.6527036129985,22.9618635590292,23.5435844835489,20.678274375878,17.0137968541312,23.2737972428412,14.3694669142112,14.4351964394611,19.1784260890814,21.2723887573867,18.3653304352962,17.0884949316613,21.1384442044951,25.7648995000792,18.3053830004483,21.3214125170514,13.7183009793611,23.1947001103746,20.3269217325687,21.4916282510336,22.319167916673,21.0088685919917,19.0887505360508,23.4118026994499,16.5079751160174
"C61.3",23.6943288355922,11.1064074898874,13.6620487654707,18.6305420749753,13.7801365407606,13.076652559616,14.4469116769374,15.9703977029173,17.2788091282678,28.6434269568831,19.1445803325594,28.4712976008793,21.1274065803854,24.5613885519704,19.7329998539721,22.4404856363337,18.2255597631338,18.1456417595111,19.2042865420923,29.6127032846738,25.4432504531341,15.8278640784162,27.3733522420229,20.2222316765551,18.7725956259416,12.7927359187188,21.756159185785,16.4600666740765,12.6649942446028,21.4272727553296,21.3639681190865,15.9903672213573,24.3146789618498,19.2207650671407,17.9502640144309,19.1280269343214,26.2037232060926,15.2792167376595,20.0796343009518,21.0096673163651,18.344653459064,19.2649545994778,21.3037869216132,19.1031602831032,25.7197619395492,18.3455720009439,21.2128968298583,22.4831744852575,22.4940816901747,23.7480263337011,20.6317882877571,16.9755701158157,24.2697886781823,14.1447487079572,14.4707352437708,20.536063353311,21.0389792171715,19.3364820732264,17.5827942947374,21.3129562861018,25.9710842878048,17.9180793242706,21.8812863307698,13.9882457090014,23.3232122723548,21.034685588991,21.1290210470389,22.1837801791144,21.3696109982535,19.2110650103018,22.8940704922706,16.8318842665743
"C62.1",23.5379973073534,9.98615819437061,12.0554927683295,18.3553315822806,15.2924139131868,13.9577247403584,14.3264686189051,14.1122816144534,17.1709357506894,28.6413930126146,19.372776915531,28.7954354319975,21.337049667421,24.119332430973,19.5382243752084,22.4182863711701,18.2541362405342,19.4290354966866,19.1113846971175,29.6459006692542,25.6110901160514,15.3490077448385,27.4875943595062,20.7171482016563,18.4605381441252,13.4878425719173,22.3888854642163,16.7961616174034,12.5094569688051,21.7241289617681,21.4561609384338,15.7881681281546,24.5638899862095,18.8122375462639,17.8676179843079,19.3320021625237,26.2280060807502,20.4552532707624,20.9974312026083,20.798551807875,19.2776620502029,19.5769356030433,21.7882248247591,18.6212632464596,25.1727335851983,18.5059243704959,21.2038315477442,23.2532398956481,23.2493316719339,23.9890214379388,19.2647229971609,16.9677515539387,23.8073998129193,14.4086014502767,14.9932549122998,19.4678821141307,21.4699977518879,19.2952056624004,18.5619915672067,21.484729704138,26.6771464695553,17.8095465783402,22.1428502069276,13.8097470777495,23.1172532991889,20.151128362934,21.7732047002683,23.1743859664242,21.2716666554374,19.3281555161695,24.1898248124468,16.5634514463401
"C62.2",23.5991893140932,10.8196403169657,11.9999248550833,17.7543842666579,14.944592419507,15.2213812938293,17.3440450957487,14.0435339280093,16.9060398868962,27.5130788943123,19.4537560435372,28.8583801082937,21.6043917999085,24.6361462448001,19.577664485988,22.4461526803352,18.6719686632706,21.1621117660553,19.5482943979882,29.6432070113867,24.31771497024,15.501947772163,27.6562533528451,22.1815748430647,18.5587410075241,13.6514755919486,22.5736393825185,16.5840745592268,16.0590253549893,22.3708281190601,22.1874849225775,17.0218773519073,25.7063359585339,19.5242204257409,18.3624927142506,19.7950565227398,26.8098486372872,20.5352944453242,21.5172651217163,20.0341721355981,18.5783639587416,20.2496008621623,22.3777375536852,18.7110959416584,25.9550895810447,19.3459015118944,21.4670306414842,23.132372289725,23.2160447681803,24.3687719006637,18.7431275357722,17.1838604981139,24.196195451106,14.1739435315938,14.9410317456047,19.5780896172517,21.5629191547646,20.1254903097208,18.8380450230913,21.9353102353632,25.6463426069749,17.0086181259599,22.7745445108143,13.2105845277856,24.2312372364461,21.4781794335561,21.9560403813096,23.4061771035411,21.6456770833341,20.2062353066324,24.329576597432,17.1908330109844
"C62.3",23.6375734588004,10.2675781571475,12.9722653059562,18.7006495647535,14.727766392502,14.7565193874651,14.5499487135629,14.0712518687623,17.6248337592134,28.7670665615506,19.3810776444664,28.7729993197918,21.2459429696415,24.9548536295258,19.3492042215697,22.3898673423586,18.7144239260605,19.2288552214044,19.4155672593731,29.7925676162402,25.2873431286034,15.2316468192442,27.5980026715428,20.5192535150848,17.8302870470328,14.5449778994682,23.3097494617681,16.7824603518798,14.4984001104843,21.268812244432,21.3825819753215,16.3733417901009,24.7212809646799,19.4894245729657,18.1785543823977,20.4641305973834,26.2547880581376,20.6744064803682,20.936845666787,20.9060115579818,20.0610903657455,19.8399791561839,21.8338687330202,18.374796034867,25.8506270619538,18.5427137183406,21.5088473994288,22.8495276761138,22.823423345771,24.0682507369011,18.7136933247567,17.3565038213443,24.1062033450733,13.9211782324481,15.3077394627475,19.3925504922384,21.5484860184495,18.9184198844936,20.1084619787527,21.4761291978048,25.1170850783151,17.9319073391591,22.1890353396382,13.2027237781328,23.1789854190871,20.0620957523104,22.5980469206963,23.1246955541967,21.6900762975562,20.6437200275404,23.9146331740841,16.2542470121887
"HF58.1",23.677235030798,11.0298022007892,12.1122993857283,18.087835262153,14.1585828747454,14.5355137511637,14.5829225595363,13.9168357435154,16.2391382390345,28.1205224302094,18.5983000251312,28.4584193381107,20.5496283808099,23.7209015272395,18.7990253280785,22.1028144892192,18.2060526056121,19.5719285135722,18.3486608983348,28.8922669612386,24.7570346746839,15.2250433785473,27.0826115670853,21.2249564531499,17.0232704865067,13.01984112151,23.5187261554761,17.8865573282387,12.3614035787721,21.2418846076189,21.0311002348399,16.5125285903095,24.7589669573371,19.1834387190972,17.6235850557535,20.2294578820391,25.7563389816724,20.7114308489812,20.0932690299241,20.357787602579,20.3996783871627,19.237894667643,21.0345143626997,17.8145382468165,25.5774296255462,18.7099471149177,21.0350832714357,22.9737077452994,22.7514380052683,23.7099555663549,17.2314058632557,17.55156992434,23.2952179471208,13.6072033099628,15.1021574341324,19.4590053576118,21.8416931168812,18.3530331744646,20.9897438418319,20.8509750394634,26.7149667424564,19.2882963588147,21.4160888001592,13.1015593353887,23.5396958144501,20.8673862390028,22.8600883805912,23.2105693761064,21.1621806730349,20.5015386688775,23.5977695302892,15.2636743925015
"HF58.2",23.4229993181572,11.2843055409913,11.4435217950675,19.0691810000717,14.3936916681641,14.193483575404,14.2588723011321,15.0015192397871,16.5742375907601,28.4583480132947,18.7207675769748,28.7111014278146,21.0565500188056,24.1733673235086,18.5074237970471,22.4119244635764,18.3745447165625,19.868459459006,18.5699297554612,29.9815187867202,25.5021130032129,16.9385112291,27.3721200370387,20.4280039041775,17.1288983421636,12.655532486444,23.3212182692665,16.8325464038879,13.1574382836488,21.4117122588499,21.3199923707354,16.015364399649,25.3658400991832,19.008234701529,18.001192214431,20.3549007593532,25.7819273977962,18.2826288584112,20.7361488011105,21.4218332466676,19.7699331770065,19.4956477936223,21.0923515822805,18.1603885048049,25.6302173151599,18.571467442617,21.0902943951551,22.9785370227671,23.3784181983781,23.9117046968519,18.535245895262,17.1138959817563,23.8520091654772,13.7946492848468,15.375281130708,20.0481928560103,21.3660303462114,18.6996489255761,20.6199414704365,21.1797966511413,26.689743225577,19.1652731835038,21.5096218823668,12.9049662441507,23.1394413203621,19.8235401378265,22.6629553119976,23.0001905253081,21.2473404604327,20.383010979293,23.9137760911897,16.1823694362107
"HF65.1",23.6548624737454,11.1952014856911,10.9276855141945,18.4794867408953,13.8916752967613,13.8317043488959,15.4100565835845,13.2776742795013,16.8070704051517,28.2341696694542,18.3311624963896,28.1184802551906,20.5040221877064,24.3737577415668,17.9221427583514,22.6404155930076,17.8557314226102,19.4739783950546,18.3383227487398,29.4209872406351,25.1552470826482,14.8156808714874,27.0932410988579,19.721819540813,17.4038430642096,13.0625627867649,23.6575338848014,17.3682821013865,12.4786825795415,21.0767014683296,20.9665552390733,14.677353870155,24.4539774086637,19.3230897948908,17.4715357458371,18.5366207090946,25.6068469497941,19.6658107482979,20.2249996797569,20.7375137950183,18.6294609336785,18.9598313009326,21.0305690916383,18.1048980908145,25.7684078678415,17.7618411897801,20.5349510561574,22.2009826806038,22.6271931713482,23.3489268145926,17.190338263767,17.2734442365748,23.2962912290748,12.861236901667,14.4921128251468,19.2642774455575,20.7568741251437,18.306292702988,20.3408254317816,20.6842181498081,25.8414881189705,18.6920126619781,21.4161621048167,12.5007051778712,22.7742797529437,21.0599283999334,23.0636633302675,22.4067513251389,20.6823302389547,19.6536772013362,23.4865169084463,16.1269831770625
"HF65.2",23.5164899447091,11.0240265524097,11.105590311278,18.6439984796152,14.0522885953359,14.7114001393276,15.4653717527362,13.7490734099751,17.0018199290268,28.4812202053244,18.9439739655773,28.3836203400742,20.7901217366155,24.4989277871972,18.4143019581981,23.1206294006536,18.3411298246258,20.6036813437887,18.8181397719816,29.5579308454078,25.3897356203043,15.0099762577945,27.3525382004131,21.3411236218706,17.6475570014196,12.7824225363261,23.4054455930648,17.1803125958472,12.6106876731298,20.9898127133423,20.9403239156986,15.4573681209234,24.9639685864885,19.9093946314333,17.7423348894012,19.9967434060319,26.0410708931895,19.9042157821918,20.8202836452034,20.909838715576,17.9577593933275,19.3651503436763,21.2737304539696,18.4933996071205,26.3894621252445,18.7252358674272,21.157879474027,23.1014851377123,22.8970752185084,23.9248486860286,18.2605874678219,17.365613466441,23.8687945068523,15.1853637074191,14.6317499344993,19.3252084604723,21.4316006297836,18.4331668583046,20.8957130858224,20.8982976562116,26.5800414285483,19.6758693207405,21.691342079945,12.8260263042632,23.5621014916886,21.4921509525422,22.6156917296459,22.8977242446718,21.2651279540549,20.2347200411395,23.6322734515351,17.0702022854577
"HF65.3",23.5504868814368,11.2514566326675,10.736550981689,19.0905435929222,13.2542552845255,15.1861526411451,14.9622207862231,13.6442179367158,17.1384678070638,28.324353061801,18.8528723287738,28.5923437245853,20.707162104331,24.5733411237801,18.6331247680812,22.0767314564578,18.2480484422436,18.7357011496915,18.5617445126245,29.8464646321083,25.5219433195641,14.893524953231,27.4898395583089,20.8401980727202,17.2050839251303,14.4447909838898,23.1462267511748,17.4074971186307,11.8912169001317,20.5369446846846,20.4034292589846,16.0375421233269,24.9115602654065,19.4832352576181,17.6307469240743,20.2549686778773,26.1233662453215,20.3595230196238,20.9869159892365,21.3297369990611,19.0476979129152,19.3914349058454,21.2374194048696,18.0336589158642,26.0877179049539,18.3492948280462,21.0007180635026,22.8088860747042,22.7474505816211,23.8453503889663,18.0050246930758,17.0266282057253,23.5848423059757,13.8189431284593,14.8801768523678,19.5034126986555,20.7016328584984,18.3659950889145,19.8756774015296,20.8797098862376,26.7795667981982,19.6237331137219,21.6526087987273,12.7282206477303,23.3081201871998,19.3515116296059,22.3751704239188,23.1134927138053,21.2135035171303,20.4730995302203,23.8614247539141,16.4475713918169
"HF67.1",23.5349972645994,10.9097804091792,11.4269565279322,19.0196091547225,13.8797719685208,13.7261879737944,13.7682405661473,13.1479290381373,17.4198026663594,28.3176650287729,18.2989266995931,28.4677685928578,20.1272049724404,23.9063260209313,17.9790736443415,22.6355568433675,17.9937786663841,19.5524606041034,18.2873084873012,29.4258458833686,25.3265314572087,15.6439143073489,27.2262854735811,20.2382545236709,17.535888131465,12.1462528249429,23.2807827621771,17.026828076849,13.1718353845954,21.1050661836846,20.8159887057056,16.0710223330881,23.9075845847263,18.8336867403893,17.1412782093478,19.6177585194722,25.2140114525787,20.3335389528317,20.3244416323472,21.2446402657614,19.1078588072651,18.9703487785697,20.5898278917728,17.4276696585818,25.231182117045,18.1180559551619,20.6044592786283,22.385934432971,22.5984944694583,23.3683137640738,17.5869658808439,17.0661290896065,23.4650959213426,13.3774754591299,15.1042321460692,19.4126453843082,20.4962484649558,18.0692589751555,19.7566726340417,20.3035204098835,26.1713128524234,18.6673565153448,21.0539560053568,12.8397115739408,22.9147766667271,21.1543404138119,22.6265446538337,22.3682539965074,20.6167213427825,20.0062566678849,23.4486758621562,16.0874889300976
"HF67.2",23.5703556428592,11.2821922612466,11.3186161252115,19.1359218032497,13.9138995344718,14.5352631112683,14.438641829728,13.5736426841047,17.2885652622052,28.5177204039276,19.0762714729707,28.5693072273993,20.2316277192698,24.386231353556,18.4022588994511,22.5303395276103,18.1828413292692,19.0252209714165,18.7630236952881,29.6206989202362,25.5890539359542,15.4762790683446,27.5450926710251,19.6321898478957,17.6828856351564,13.2100386292991,23.7266003264396,17.5079364854267,13.0438095452384,20.8002740048137,20.7891355060915,15.9043536837943,24.4737118936921,19.1696914620389,17.4551599987988,20.0697533208542,26.0223216962835,20.6078024618553,20.482939472246,21.3535450385695,19.7402489904068,19.1438789994889,21.1333817795856,17.5840854085254,25.6681461866071,18.2411945253398,21.0797080592356,22.6444837545167,22.9373518258942,23.6784920245,17.447455773801,17.7798361078211,23.3516151207834,13.9629125489467,14.6608801329187,19.4863242864213,21.6561507819515,18.5814794889039,20.7362936908695,20.4954900825605,25.9248251856338,18.9098048824887,21.5498010854496,12.8097992613485,22.9944151885272,21.0323025216886,22.9123511174378,22.6402396369487,21.1527437374025,20.1932726712066,23.710857034333,16.2139758540873
