"id","Adenosine.diphosphate.ribose..ADPr.","Adenosine.triphosphate..ATP.","cyclic.adenosine.diphosphate.ribose..cADPribose.","N.methyl.2.pyridone.5.carboxamide..Me2Py.","N.methyl.4.pyridone.5.carboxamide..Me4Py.","X1.methyl.nicotinamide..MeNAM.","nicotinic.acid..NA.","nicotinic.acid.adenine.dinucleotide..NaAD.","nicotinamide.adenine.dinucleotide..NAD.","Nicotinamide.adenine.dinucleotide..NADH.","Nicotinamide.adenine.dinucleotide.phosphate..NADP..","Reduced.nicotinamide.adenine.dinucleotide.phosphate..NADPH.","Nicotinamide.adenine.dinucleotide.phosphate..NADP.","nicotinamide..NAM.","nicotinic.acid.mononucleotide..NAMN.","Nicotinic.acid.riboside..NaR.","Nicotinamide.mononucleotide..NMN.","Nicotinamide.riboside..NR."
"C59.1",28.487471241001,21.0890812390343,26.5287146654964,23.3271093518861,25.8251697322361,24.8816770947491,22.3474136559261,25.5077655313862,29.277216442358,22.9489765452272,23.4206983994896,19.0641531706558,18.0172377198169,28.2021156980252,20.2996041483035,19.5069711987329,22.9029783878943,19.1101179549018
"C59.2",28.4742812186602,22.0788401662056,26.4895752437873,22.8918982089053,25.3985955584122,24.2237757544807,22.118290041171,25.3080415911011,29.0967339229369,23.3057664930954,24.2858136178179,19.5227404908233,18.5931435430591,27.8990039739736,20.458876192961,19.3091275595185,23.2541429861171,19.1919579007465
"C61.1",28.3995634019096,22.4514046214067,26.570935951558,21.9464434194531,24.2108258704719,24.5905782490972,21.8438182789765,25.000189965557,28.8179653927153,22.3762913781917,23.5038969302725,19.2829888463255,17.8688943584043,27.8166114342569,19.5518364610256,19.181822615934,22.1150174966901,18.9563480555507
"C61.2",28.5969257928125,22.7545698929024,26.5194067809365,23.0002855660205,25.5976892250743,24.3178844292952,22.2061571508655,25.2143297855246,28.940460118582,22.7378678115027,24.1675157852309,19.5130308738811,18.4883059294243,28.0460776227266,19.8012088737741,19.1481912173171,22.3221398970696,18.782282878638
"C61.3",28.1824212645041,22.4975694840172,26.2490318749292,21.8223217782249,23.9537955723154,24.4431901982775,21.7556761236616,25.0841954461759,28.7955997479668,22.7343241000715,23.4752152408646,19.6193129040015,17.9471554751258,27.6550967089728,19.3476593858001,18.8208140447324,22.049000116276,18.5984942416271
"C62.1",28.3330554454405,23.7006777742756,26.4291700567126,22.1112000009822,24.2566284340894,23.9826860476269,21.2621467867278,25.2400524389671,29.076199022685,22.9546817007314,23.8764946858195,20.1285496063112,18.4050405404921,27.1552218363705,19.9137629952097,19.175117112595,22.6117564108047,19.3794376179609
"C62.2",28.5400894161604,20.3091233192958,26.5291015610616,21.2121148782823,23.3980429727455,23.8842473553551,20.8576568767299,25.0058340172897,28.7695550390364,22.6994135893798,24.0661037473053,19.2766975610696,18.6648578444655,26.808586223161,19.548725213752,18.98439404749,22.3598573038753,19.6345766341285
"C62.3",28.199763175598,21.2661600504191,26.2930348281951,22.0137787104472,24.2698885972633,25.4810905283614,21.4548951285408,24.96690127946,28.799865615931,22.6835743681137,23.6684288090594,19.1435059819094,17.9456491681227,27.3833476143104,19.7790466352063,19.0203438837048,22.5174541129608,19.5410227786644
"HF58.1",28.5424640403645,21.1962621534399,26.5016122167531,23.3102923991011,25.5173183191569,24.4893657136309,21.743689713701,24.8738157539026,28.7404372488159,22.126870011979,23.6145242214203,18.8034708261412,18.045685090683,27.6168857474281,20.0941321676934,19.2494041762165,22.3629908182598,18.8479676798729
"HF58.2",28.3478805225574,22.6055670707485,26.2715731010424,22.8327411667502,25.3476856021927,24.4730147104934,22.1202515887836,24.2790138621583,28.1013404507142,22.0335406659839,23.4807655105691,18.8340149571162,17.9308516500514,27.9663102037018,19.5383982053141,19.0180651783454,21.848444981677,19.4949816910755
"HF65.1",28.2333543980311,21.6259801101051,26.2619570157257,23.5263202499578,26.0619431531413,24.8668952896057,22.0431721029511,25.1201828373991,28.8338065291692,22.4666706044421,23.1272529962475,19.1849318089061,17.4512043401356,27.9169629923752,19.4602334234453,18.9776959448155,22.1352287016802,19.4740118908585
"HF65.2",27.9391522311061,20.9213142113472,25.9044488234375,23.1547131662246,25.6994611057688,24.5351376529356,21.7806350351378,25.0812507079078,28.9087408492223,22.5267702926579,23.0032722187036,18.5742752945629,17.5563705311372,27.5167600173215,19.2076061263723,18.9578658768416,22.0846375493974,19.3359855804738
"HF65.3",28.0294898176751,20.3873811997889,25.9206082550449,22.0964687761014,24.2139885169114,24.5868581995185,20.4854076075854,24.9810591709613,28.8015537638944,22.2998566577684,23.0277504597457,18.6925229329123,17.3837569269026,26.473194422697,19.3261468772079,18.9743952202649,21.976464799546,19.2515428053015
"HF67.1",28.2697079094161,22.06165740982,26.4043346783353,23.2010930416157,25.6485826984755,24.7874987502187,22.197283188946,24.6893964187214,28.5013782799457,22.2746696855908,23.4258914798706,18.631478331573,17.8539302039345,28.0377010859037,19.7943690303482,18.9710485749289,22.0363113503199,19.4671334001187
"HF67.2",28.0269178403056,22.054876115314,25.8658952231351,23.0411475271388,25.4036711350902,24.5508883174587,21.9613056357922,25.1251662785639,28.8227285426137,22.5631047440319,23.4083332201465,18.9927365324291,17.7258701190011,27.8244910183973,19.7233949479696,18.9442830150447,22.6656200400524,18.8590762341362
"HF67.3",28.0550053752205,20.8578897154245,25.9894357282154,23.2617441529603,25.6723692233519,24.8477106155969,22.1376856221547,25.1049340692757,28.8436741344091,22.4723022584822,23.0168289390522,18.4112460023691,17.4228953880364,28.0227997685094,19.4364336627438,18.9987545783661,22.0154324054066,19.3726401170506
"HFHS56.1",27.952218241601,22.7815968373371,26.002290159114,22.5949032470874,24.8217921964975,24.5105967478471,20.7349160286523,25.5611121012597,29.2967931533002,22.5418087219937,23.8880381402397,19.2718619911272,18.3382890869868,26.7618987649406,20.1982997344248,19.3559121394883,22.2283092034015,19.9962421960228
"HFHS56.2",28.3845874264752,22.5848230209267,26.5623413221425,23.2120805999798,25.7889791340914,24.1715000148205,21.7751099029169,25.3443393753999,29.0352806606198,22.574183389409,24.0451904814118,19.2184816801817,18.4537984885899,27.7370826019398,20.2594862574139,19.11235693814,22.4014760626541,20.3038783640587
"HFHS57.1",28.5558055877489,24.266898643398,26.7489426887417,23.1628092074913,25.6383678725619,24.3420833643151,21.9626126090584,25.3974859264098,29.1498821986945,22.5420611860228,24.0906048224533,19.7367008752864,18.6660418733071,27.8548184637691,20.5251174670152,19.2892981239567,22.8915763798586,19.1608025243951
"HFHS57.3",28.5855514475938,23.2371607382816,26.7936378190234,23.2112060656254,25.7903655224728,23.6035741681096,21.8856381174026,25.1568160606873,28.9533535590065,21.8866307365699,24.0530363316983,19.1195141009105,18.5037790664498,27.776340028335,20.1485851463793,19.1171259993598,22.360787424054,19.7816971080263
"HFHS66.1",27.7662011506214,25.1168952249316,25.8344471687523,23.1822079511287,25.763519450107,24.0215258060347,21.7078160132099,25.1276998266942,28.8773034460595,22.2363970338892,23.7918571197284,19.006796603704,18.3921549314019,27.6187124522825,20.3749641518269,19.2828321652126,22.1242406450816,19.231600110582
"HFHS66.2",28.1222096864657,23.6447024450894,26.233040869927,22.8363855920277,25.335771954503,24.5902114191127,21.7070937444296,25.0397754390702,28.8053589980846,22.6884714047492,23.8111341583199,19.912181451667,18.2491560276234,27.5436738891173,19.9941731876273,19.0866640314836,22.2601562549237,19.3417354664611
"HFHS66.3",28.5415591287081,24.3449817152825,26.6163893229939,23.3393859272529,25.9624244870684,24.63563562248,22.1894033298605,25.6691977307635,29.3496378417229,23.418962030332,24.4570017237197,20.2779699631511,18.8540615447331,28.1027504491306,20.6965084058488,19.2652113399326,23.1158478985865,19.0843607431589
"HS60.1",28.1410710104146,21.6648065935748,26.231241435297,23.8326913297903,26.2604622472975,23.8922505121107,22.3560698187702,25.0840525529421,28.8461826690008,22.1928901772167,24.1210608792588,19.6609396659695,18.6847708182514,28.1658315625924,20.0943440561688,19.1917090766674,22.6968692654895,19.6777802132225
"HS60.2",28.488441031436,20.7594226702442,26.4938626752671,23.0974177295927,25.5434587452841,23.8428528736856,22.3298042701643,24.7030781875779,28.6073930846047,21.5027249983454,22.9372050062315,17.9885344554471,17.4523255063711,28.0726807831853,20.1062754046092,19.1471081761542,22.4798865279156,19.8210471976509
"HS63.1",28.9858407991617,23.8752194156299,27.2640939019903,22.9201332373987,25.5173027140077,23.3869416335505,22.8061021020892,25.0237559941487,28.7345865408936,22.79774577604,24.3865921162992,20.2635561319962,18.8983924765559,28.6262826463303,20.6146313333709,19.4748262628372,23.3772481603141,19.5821824728627
"HS63.2",28.040647946163,21.4840450562172,26.1262479101927,23.0004310399552,25.5377752653886,23.8951803160224,21.706203713592,25.0729839648275,28.8541851824216,22.4982801191394,23.345074306092,19.2593021535172,17.7738847769779,27.5575509946853,19.4889601807397,18.8697652507304,21.9306753893842,20.0120131077677
"HS63.3",28.0976118291442,21.6260635558234,26.1161620507529,22.9331498620692,25.4150877422247,25.0662788815959,22.1473521466196,24.3145220003533,28.2450807244286,23.019260718476,23.681324493657,19.0167203478385,18.1681301092097,27.9723808284949,20.1781213153857,18.5286980017927,23.0556025448852,19.7980798607974
"HS64.1",28.3203786187525,22.4329567967098,26.4725499770434,23.0373890678177,25.5515202263075,23.9653588858416,22.0561775919022,25.2733591539037,29.0031533945578,22.7354124292145,24.2920703772094,19.9312486343528,18.9409099180203,28.0215735270324,20.1299396254926,19.3000027474428,22.9401454967394,18.5702383821898
"HS64.2",28.8147097239881,25.8020337424292,27.132963101242,22.3192921410712,24.6402620552066,24.5389359390489,21.5850747963794,25.7392884190279,29.4626431421351,23.6692950904593,24.9544641463529,21.861054985651,19.6228871413217,27.4741486842882,20.5629520959561,19.4698838414263,23.193815859453,18.827515279451
"HS64.3",29.2308655315741,23.3935926445844,27.4980145530786,22.7621303583024,25.3943247299983,24.7271666372677,22.4708735281559,25.4020859409012,29.1325088428129,22.7410533249161,24.5818594594118,20.1604238900115,19.0679409890283,28.1788019661261,20.7963623195649,19.2909197830695,23.2363647200417,19.0431492125573
