id,liver (mg)
C59.1,1.2775
C59.2,1.0234
C59.3,1.2196
C61.1,0.9229
C61.2,0.9646
C61.3,1.0491
C62.1,0.982
C62.2,0.9733
C62.3,0.9983
HF58.1,2.0752
HF58.2,1.8466
HF58.3,2.8356
HF65.1,1.9815
HF65.2,1.8168
HF65.3,2.0127
HF67.1,2.7561
HF67.2,2.2961
HF67.3,1.8261
HFHS56.1,2.1081
HFHS56.2,3.3819
HFHS56.3,2.1012
HFHS57.1,2.307
HFHS57.3,3.1689
HFHS66.1,1.9927
HFHS66.2,2.4258
HFHS66.3,2.1985
HS60.1,1.5307
HS60.2,1.8104
HS60.3,1.0172
HS63.1,0.8906
HS63.2,0.548
HS63.3,0.5581
HS64.1,0.9444
HS64.2,0.9129
HS64.3,1.0533