ID/Time (mins),%leanmass
C59.1,63.9
C59.2,71.98
C59.3,68.46
C61.1,78.06
C61.2,77.92
C61.3,87.83
C62.1,78.34
C62.2,85.34
C62.3,82.27
HF58.1,62.99
HF58.2,60.17
HF58.3,62.52
HF65.1,60.13
HF65.2,59
HF65.3,56.49
HF67.1,57.7
HF67.2,59.41
HF67.3,61.39
HFHS56.1,58.49
HFHS56.2,54.83
HFHS56.3,55.51
HFHS57.1,56.01
HFHS57.3,56.26
HFHS66.1,58.08
HFHS66.2,62.07
HFHS66.3,60.97
HS60.1,64.17
HS60.2,64.95
HS60.3,71.51
HS63.1,80.4
HS63.2,88.29
HS63.3,90.07
HS64.1,75.39
HS64.2,88.73
HS64.3,74.99