ID/Time (weeks),heart/tibia
C59.1,0.8137
C59.2,0.8413
C59.3,0.9189
C61.1,0.8357
C61.2,0.7282
C61.3,0.8637
C62.1,0.6331
C62.2,0.7958
C62.3,0.7927
HF58.1,1.0374
HF58.2,1.2103
HF58.3,1.0232
HF65.1,0.8379
HF65.2,0.8549
HF65.3,0.8134
HF67.1,0.9623
HF67.2,0.9374
HF67.3,0.9258
HFHS56.1,0.7342
HFHS56.2,0.961
HFHS56.3,1.0053
HFHS57.1,0.8768
HFHS57.3,0.9669
HFHS66.1,0.801
HFHS66.2,0.9705
HFHS66.3,0.9833
HS60.1,0.8288
HS60.2,0.7788
HS60.3,0.8901
HS63.1,0.8577
HS63.2,1.0767
HS63.3,0.7983
HS64.1,0.898
HS64.2,0.7863
HS64.3,0.8844