"id","Adenosine.diphosphate.ribose..ADPr.","Adenosine.triphosphate..ATP.","cyclic.adenosine.diphosphate.ribose..cADPribose.","N.methyl.2.pyridone.5.carboxamide..Me2Py.","N.methyl.4.pyridone.5.carboxamide..Me4Py.","X1.methyl.nicotinamide..MeNAM.","nicotinic.acid..NA.","nicotinic.acid.adenine.dinucleotide..NaAD.","nicotinamide.adenine.dinucleotide..NAD.","Nicotinamide.adenine.dinucleotide.phosphate..NADP..","Reduced.nicotinamide.adenine.dinucleotide.phosphate..NADPH.","nicotinamide..NAM.","nicotinic.acid.mononucleotide..NAMN.","Nicotinic.acid.riboside..NaR.","Nicotinamide.mononucleotide..NMN."
"C59.1",24.0615847146029,20.913876026197,17.7640429191068,23.8202961212705,26.3918757871322,23.6733239961598,18.1355222926156,17.2566013374642,17.3456299307768,15.5408433328978,16.6335847123477,21.3193634542793,14.0082870897014,19.0233311194919,16.9960531743313
"C59.2",22.8200726618596,22.5740846395153,17.0759800084479,23.422755366694,26.1907336219228,23.4069028165028,18.2452420823669,17.356678183291,17.3975063774788,17.4631336680569,16.5690415832319,21.309286292749,13.8716370209511,19.0316508665802,17.3376215031161
"C59.3",23.4876380107572,22.6404981168051,17.6589173146112,23.554329864009,26.1235530106323,23.6118045580664,18.1608049349512,17.6110442708336,17.4747079006385,17.5543365095557,16.9247397558745,21.0568817678473,13.7381807165053,18.8818819278639,17.4557452850975
"C61.1",21.209022730697,20.1975503713326,17.5564127925967,23.2966712006166,25.9054215327377,22.8303448767714,18.0790712758623,16.5284323071354,17.2902187753414,15.5438100544094,16.5495392632671,20.2004900269303,13.7522668097368,19.0284372973304,16.8406432050692
"C61.2",21.8695257818187,20.3846077794737,17.4298231972284,23.2659964285434,25.9153179876761,23.3839402144776,18.173776625644,16.5293202041586,17.0850318200766,15.372825165628,16.7610185798372,20.8786924322245,13.8795993659814,18.8671034845334,17.2682240661666
"C61.3",21.5879880938097,20.0971009082809,17.5217594138315,23.5180122289281,26.1928378850131,23.6294691166758,18.2545106227046,16.8203784697565,17.4238153088311,15.7182795459387,17.3058012021942,21.2505674811803,13.5839063581828,18.8484531179926,16.7898138239269
"C62.1",22.0180995141363,20.2085106794816,17.0824923364812,23.1137013370403,25.891810444911,23.0475698078911,18.1037124786301,16.4653487097538,17.2285282831487,15.2501833583936,16.8968837211603,20.7275512055686,13.7301411605476,18.9548416811135,16.9561185312569
"C62.2",24.0624894098146,22.17644825595,17.5234172223407,23.0928966470155,25.7724408783076,23.5818755918897,18.2477738699385,18.0429515595433,17.2423503528161,17.7677611909684,16.4189837294608,21.7762203480723,14.1313379795378,18.9764302626981,17.7246874453307
"C62.3",23.5880887092654,22.0400168527907,17.2442048342625,22.8756223477892,25.6823557112391,23.2979291110526,18.2423751991389,17.4961642027541,17.1880636849708,17.6681359049952,16.8134670474927,21.2328045256395,14.586703807236,18.8609037361916,17.6499502874064
"HF58.1",23.9739257870597,22.1924257321805,17.6319467220447,24.0994778142358,26.6866620782963,23.7681816400767,18.199182957195,17.8509739972167,17.1743044318079,17.7889084304456,16.889582045731,21.4345681118886,15.3596543526032,18.9945919658503,18.6015913950754
"HF58.2",22.3187733717328,22.1516425077358,17.5559367132571,23.8920741664365,26.4793504601275,23.848176600759,18.3053187318958,16.8239281256162,17.2665791514424,16.611216506572,17.0011709771818,21.073374728361,13.6505566221849,18.8746838420263,17.7388164754919
"HF58.3",22.6773125073339,22.2463172243478,18.2059641397537,24.1247742366218,26.6965095242895,23.7684892637179,18.0550486480126,16.7841416977269,17.2555727740793,16.5402645879534,17.1491197552746,21.0289926818268,14.3285159297032,19.0754637691484,17.2788094477672
"HF65.1",22.6225898544765,20.4226226757717,17.9046417742882,24.3454898567585,26.8985866312105,24.5596607487161,18.3275517156395,16.9714915611102,17.3444852662245,15.6976775718524,16.6660893482748,21.2915027962676,14.145219735481,19.0222772600398,17.0263418231739
"HF65.2",23.9050012476019,21.2238764309045,17.9784406873149,23.8040423013668,26.5496707764423,23.8961779244181,18.121648822294,16.8865338786014,17.0419593007327,16.4340069310896,16.6856375040163,21.3792205363383,13.8679591646041,19.0317336782975,17.1085414047583
"HF65.3",21.046751646368,19.0150954784199,18.5204874279398,23.9581012817802,26.5366314476096,23.7295560122785,17.8105371479833,16.3398048837433,17.3105822956953,14.7513569302402,16.578315860405,20.6400603894376,13.5070089443627,19.0835976047774,16.818540127673
"HF67.1",21.805320573927,19.7623062812674,17.9958539095586,24.0429296180345,26.6678415186486,23.9916605959511,18.0057013379711,16.4973689706229,17.2719157203293,14.9444022771152,16.9936163154876,20.935144467281,13.5227766170032,19.0123562659825,16.9564615655226
"HF67.2",20.7673641237117,19.0696575158704,18.1173589256985,24.1687818755913,26.6537248440556,24.1858144119493,18.1243318390236,16.5417270675275,17.3431213750401,14.9692421194453,16.8055105763953,20.8599602890447,13.6025537322505,19.0165531185097,16.8237633692414
"HF67.3",24.0671411633693,21.5682110121027,17.4145403709688,24.1528215452228,26.7740570659688,24.5188869708648,18.5667536017143,17.1291500939919,17.2303704604112,17.1128388170933,17.1091679390817,21.7314274234543,14.9333135597582,18.9437464249444,18.1089936094702
"HFHS56.1",21.4840474093143,20.7834909086586,17.6087120372018,24.0166077378591,26.5542471450374,23.7943685834312,18.3461255885982,16.3850516861801,16.9377881164204,16.1522045085623,17.0702794843516,21.0720201081159,13.744867408635,18.9940725967534,17.1964239393695
"HFHS56.2",21.6940541907167,20.6890495805427,17.7146296924712,24.0353314992403,26.4228111516161,23.9016774529263,18.3185412298031,16.2798338494026,16.8179082291106,15.9444700247396,17.0839038737146,21.2615742557257,13.7127168766164,18.8873052060409,17.4105729750926
"HFHS56.3",21.5858383379343,20.3745393711328,18.2414353137242,24.29532554995,26.8257969028582,24.062929540198,18.2230858642236,16.3886852137501,17.1257505173887,15.4260123976746,16.6237440382979,21.2291691129492,13.7646049134543,18.9329195944403,17.0905912441714
"HFHS57.1",22.6608585168128,21.2512082004656,17.7517850640411,23.8561886082355,26.4115061818448,24.0160798966795,18.0490357657997,16.7012455578288,17.2622915040179,16.2885624099713,16.6914295419964,20.9593009062419,13.5178263828871,18.7651241447881,17.134067752353
"HFHS57.3",19.5985711878893,19.1464080935963,18.3917478164771,23.8904136443929,26.400175354236,23.7367353993203,17.8676703474774,16.1481814093389,17.1491662435383,15.0590209237237,16.9508306862425,20.9392959100536,13.1475308464729,19.0228312883851,16.9121692351838
"HFHS66.1",22.9790416074585,22.2466554564226,17.8179232144924,24.4650874298671,27.1548598563475,23.934274487394,18.2743823510011,16.7804233938727,17.1688625660608,16.7829867320125,16.8983512001483,21.0340504745019,13.627271306623,19.1032528890327,17.4240202280854
"HFHS66.2",20.6352805192485,19.0700730526936,18.2106767533123,24.0378245909313,26.5667217895348,24.0364321285761,18.0259741536771,16.2116109285286,17.0951800873052,14.4327983970237,16.8483298100549,21.0168956793977,13.6580572929981,19.0229313104786,16.8316261530157
"HFHS66.3",21.5278188482827,19.7430321884014,18.5500086525635,23.9924125293793,26.6543795007623,24.0665743095969,17.9629533722257,16.4006221875806,17.3500594989893,15.5392367057724,16.632673266352,21.205813610664,13.5125711379052,19.0055178080368,16.9229046015152
"HS60.1",24.8196303534962,21.8581881849559,17.4135425987399,23.8254437669367,26.0772329225972,24.5686927944637,17.541528256804,17.6504058940937,17.0712844305479,17.437870121696,16.8003194203784,21.5656291507716,15.0145947204076,19.0074717228467,18.4861578865917
"HS60.2",22.8920836730836,22.5329816677818,17.5598682562494,24.0929125057166,26.672150884887,24.0346533598634,18.3748936170942,17.4458362374461,17.1601492135263,17.4331998919136,16.7008257866526,21.7902545380649,14.2259613815272,19.0316484606102,18.3039240283466
"HS60.3",22.7855089332247,22.3002833064626,17.9253705620867,23.9394802444427,26.5310256934605,24.0035332150261,18.2920400067688,17.1331362556793,17.3060482218992,17.2616551009258,16.730441222586,21.2837329412001,13.7778419303642,18.8415554922027,17.34580123691
"HS63.1",21.6624197542473,20.3153156708253,16.9728729505312,23.0112528211871,25.6424226410112,23.0937953782266,18.1123545612104,16.3194864396803,16.8981421432524,15.4107808668784,16.9184658385942,20.7396165440465,12.7927701319365,18.939970733857,17.3579255252972
"HS63.2",23.2105301169277,22.2010043773473,16.312053593439,23.5105651319315,26.0432094806394,22.9909647471782,18.0711136284191,17.7774913743868,17.2133065109573,17.5459270250952,16.7240241859506,21.2654900512321,14.2051761614416,19.0620085104018,17.444647485093
"HS63.3",21.0878345864819,19.7909399922579,17.1403369479105,23.8583014736644,26.4086170786977,23.2972854347975,18.0882124744526,16.6167988332079,17.3123777903671,15.3939679197161,17.0101925416632,20.6656867711498,13.2610431895197,18.7777794977159,17.1153153293583
"HS64.1",24.3752548040059,21.7033635701791,17.7252050649745,24.0821355602954,26.6643871822653,24.6362636897237,18.4915289708235,17.5746529532476,17.1557512205314,17.4198552497938,16.6719411932703,21.5059999532348,14.0782020069212,19.0370426097541,18.0823300481268
"HS64.2",24.1539842659376,22.162909122135,17.5307833685023,23.3437338159671,25.9684608424471,23.7577728047543,18.4737311400847,17.7050806344378,17.264262845839,17.6518285826626,16.6726487044584,21.7946604517713,13.8740775581858,19.0231994736903,17.6585239168732
"HS64.3",23.5362646360031,20.9310909709443,17.4925007715971,23.1028995340423,25.7854553346129,23.1866910613179,18.147444284234,16.7970296709612,17.4499740392488,15.9986098731374,16.9399138837098,21.2103401177667,13.5254430947245,19.0193945689547,17.2116347113382
